#
# Transition date estimate for proctor
#
# Site: proctor
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:14
# Spline RMSE gcc_mean: 0.06708
# Spline RMSE gcc_50: 0.07288
# Spline RMSE gcc_75: 0.07171
# Spline RMSE gcc_90: 0.06271
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
proctor,DB,0001,rising,gcc_90,2009-05-02,2009-05-05,2009-05-14,2009-04-26,2009-05-02,2009-05-08,2009-05-05,2009-05-08,2009-05-17,0.32056,0.32672,0.34799,0.31405,0.35962
proctor,DB,0001,rising,gcc_90,2010-04-26,2010-04-29,2010-05-05,2010-04-20,2010-04-23,2010-04-29,2010-04-29,2010-05-02,2010-05-08,0.32249,0.32776,0.3374,0.31512,0.34923
proctor,DB,0001,rising,gcc_90,2011-05-08,2011-05-11,2011-05-17,2011-05-05,2011-05-08,2011-05-11,2011-05-11,2011-05-14,2011-05-20,0.32316,0.33226,0.35229,0.31597,0.35972
proctor,DB,0001,rising,gcc_90,2012-05-04,2012-05-07,2012-05-13,2012-04-28,2012-05-04,2012-05-07,2012-05-07,2012-05-10,2012-05-16,0.32193,0.32714,0.34389,0.31677,0.35451
proctor,DB,0001,rising,gcc_90,2013-04-29,2013-05-02,2013-05-08,2013-04-26,2013-04-29,2013-05-02,2013-05-02,2013-05-05,2013-05-11,0.32361,0.33121,0.35013,0.31694,0.36168
proctor,DB,0001,rising,gcc_90,2014-05-11,2014-05-14,2014-05-20,2014-05-05,2014-05-08,2014-05-14,2014-05-14,2014-05-17,2014-05-23,0.3267,0.33577,0.35403,0.31657,0.35957
proctor,DB,0001,rising,gcc_90,2015-05-05,2015-05-05,2015-05-14,2015-04-29,2015-05-02,2015-05-05,2015-05-08,2015-05-08,2015-05-17,0.32886,0.32886,0.35666,0.31753,0.35872
proctor,DB,0001,rising,gcc_75,2009-04-29,2009-05-05,2009-05-14,2009-04-23,2009-05-02,2009-05-05,2009-05-02,2009-05-08,2009-05-17,0.31715,0.32634,0.34463,0.31228,0.35532
proctor,DB,0001,rising,gcc_75,2010-04-23,2010-04-26,2010-05-08,2010-04-17,2010-04-23,2010-04-29,2010-04-26,2010-04-29,2010-05-11,0.31821,0.322,0.33924,0.3137,0.34606
proctor,DB,0001,rising,gcc_75,2011-05-08,2011-05-11,2011-05-17,2011-05-02,2011-05-05,2011-05-11,2011-05-11,2011-05-14,2011-05-20,0.32506,0.33148,0.34536,0.31459,0.35774
