#
# Transition date estimate for queens
#
# Site: queens
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:48
# Spline RMSE gcc_mean: 0.02981
# Spline RMSE gcc_50: 0.02933
# Spline RMSE gcc_75: 0.02876
# Spline RMSE gcc_90: 0.03166
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
queens,DB,0002,rising,gcc_90,2014-05-14,2014-05-14,2014-05-23,2014-05-11,2014-05-11,2014-05-20,2014-05-17,2014-05-17,2014-05-26,0.35898,0.35898,0.40199,0.33226,0.43305
queens,DB,0002,rising,gcc_75,2014-05-14,2014-05-17,2014-05-23,2014-05-11,2014-05-14,2014-05-20,2014-05-17,2014-05-20,2014-05-26,0.35477,0.3712,0.39699,0.33123,0.42825
queens,DB,0002,rising,gcc_50,2014-05-14,2014-05-17,2014-05-23,2014-05-11,2014-05-14,2014-05-20,2014-05-17,2014-05-20,2014-05-26,0.35076,0.36634,0.39064,0.32994,0.42383
queens,DB,0002,rising,gcc_mean,2014-05-14,2014-05-17,2014-05-23,2014-05-11,2014-05-14,2014-05-20,2014-05-17,2014-05-20,2014-05-26,0.35042,0.36588,0.39,0.32972,0.42142
queens,DB,0002,falling,gcc_90,2015-10-14,2015-10-08,2015-09-23,2015-10-20,2015-10-11,2015-10-02,2015-10-11,2015-10-05,2015-09-20,0.34592,0.36004,0.39293,0.33262,0.43305
queens,DB,0002,falling,gcc_90,2014-10-14,2014-10-11,2014-09-29,2014-10-20,2014-10-14,2014-10-11,2014-10-11,2014-10-08,2014-07-25,0.3483,0.35967,0.38344,0.33164,0.42304
queens,DB,0002,falling,gcc_75,2015-10-14,2015-10-08,2015-09-23,2015-10-17,2015-10-11,2015-10-02,2015-10-11,2015-10-05,2015-09-20,0.34377,0.35758,0.38886,0.33136,0.42825
queens,DB,0002,falling,gcc_75,2014-10-14,2014-10-11,2014-09-29,2014-10-20,2014-10-14,2014-10-11,2014-10-11,2014-10-08,2014-07-25,0.34662,0.35731,0.37991,0.33072,0.41718
queens,DB,0002,falling,gcc_50,2015-10-14,2015-10-08,2015-09-23,2015-10-17,2015-10-11,2015-10-02,2015-10-11,2015-10-05,2015-09-20,0.34015,0.35434,0.3858,0.32984,0.42383
queens,DB,0002,falling,gcc_50,2014-10-14,2014-10-11,2014-10-02,2014-10-20,2014-10-14,2014-10-11,2014-10-11,2014-10-08,2014-07-25,0.34266,0.35277,0.37547,0.32962,0.40846
queens,DB,0002,falling,gcc_mean,2015-10-14,2015-10-08,2015-09-23,2015-10-17,2015-10-11,2015-10-02,2015-10-11,2015-10-05,2015-09-20,0.34083,0.35473,0.38535,0.32972,0.42142
queens,DB,0002,falling,gcc_mean,2014-10-14,2014-10-11,2014-10-02,2014-10-20,2014-10-14,2014-10-11,2014-10-11,2014-10-08,2014-07-25,0.3425,0.35226,0.37398,0.32922,0.40739
