#
# Transition date estimate for quickbird
#
# Site: quickbird
# Veg Type: SH
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:48
# Spline RMSE gcc_mean: 0.00559
# Spline RMSE gcc_50: 0.00516
# Spline RMSE gcc_75: 0.00554
# Spline RMSE gcc_90: 0.00658
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
quickbird,SH,0001,rising,gcc_90,2015-04-20,2015-04-29,2015-05-17,2015-04-17,2015-04-26,2015-05-08,2015-04-23,2015-05-02,2015-05-20,0.33677,0.34099,0.34949,0.33384,0.36036
quickbird,SH,0001,rising,gcc_75,2015-04-20,2015-04-29,2015-05-17,2015-04-17,2015-04-26,2015-05-08,2015-04-23,2015-05-02,2015-05-20,0.33622,0.34011,0.34796,0.33349,0.35852
quickbird,SH,0001,rising,gcc_50,2015-04-20,2015-04-29,2015-05-17,2015-04-17,2015-04-26,2015-05-11,2015-04-23,2015-05-02,2015-05-20,0.33564,0.33929,0.34632,0.33292,0.35716
quickbird,SH,0001,rising,gcc_mean,2015-04-20,2015-04-29,2015-05-17,2015-04-17,2015-04-26,2015-05-11,2015-04-23,2015-05-02,2015-05-20,0.33543,0.33923,0.34635,0.33279,0.35711
quickbird,SH,0001,falling,gcc_90,2015-08-21,2015-07-31,2015-07-07,2015-08-27,2015-08-09,2015-07-16,2015-08-18,2015-07-28,2015-07-04,0.33662,0.34072,0.34896,0.33369,0.36036
quickbird,SH,0001,falling,gcc_90,2014-09-11,2014-07-19,2014-07-01,2014-09-14,2014-07-25,2014-07-10,2014-08-21,2014-07-16,2014-06-28,0.33541,0.33864,0.34435,0.33344,0.3519
quickbird,SH,0001,falling,gcc_75,2015-08-21,2015-07-31,2015-07-07,2015-08-27,2015-08-06,2015-07-16,2015-08-18,2015-07-28,2015-07-04,0.33608,0.33968,0.34738,0.33304,0.35852
quickbird,SH,0001,falling,gcc_75,2014-09-08,2014-07-19,2014-07-01,2014-09-14,2014-07-25,2014-07-07,2014-08-21,2014-07-16,2014-06-28,0.33493,0.33768,0.34344,0.333,0.35138
quickbird,SH,0001,falling,gcc_50,2015-08-24,2015-07-31,2015-07-07,2015-08-30,2015-08-09,2015-07-16,2015-08-21,2015-07-28,2015-07-04,0.33491,0.33891,0.34594,0.33212,0.35716
quickbird,SH,0001,falling,gcc_50,2014-09-08,2014-07-19,2014-07-01,2014-09-14,2014-07-25,2014-07-07,2014-08-21,2014-07-16,2014-06-28,0.33419,0.33699,0.34246,0.33226,0.35051
quickbird,SH,0001,falling,gcc_mean,2015-08-21,2015-08-03,2015-07-07,2015-08-27,2015-08-09,2015-07-16,2015-08-18,2015-07-31,2015-07-04,0.33476,0.33843,0.3461,0.33205,0.35711
quickbird,SH,0001,falling,gcc_mean,2014-09-08,2014-07-19,2014-07-01,2014-09-14,2014-07-25,2014-07-07,2014-08-21,2014-07-16,2014-06-28,0.33419,0.33689,0.34248,0.33225,0.35041
