#
# Transition date estimate for readingma
#
# Site: readingma
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:48
# Spline RMSE gcc_mean: 0.02423
# Spline RMSE gcc_50: 0.02793
# Spline RMSE gcc_75: 0.02749
# Spline RMSE gcc_90: 0.02637
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
readingma,DB,0001,rising,gcc_90,2012-04-16,2012-04-19,2012-05-01,2012-04-10,2012-04-16,2012-04-25,2012-04-19,2012-04-22,2012-05-04,0.33276,0.33892,0.36266,0.32164,0.38902
readingma,DB,0001,rising,gcc_90,2013-04-20,2013-04-29,2013-05-08,2013-04-14,2013-04-26,2013-05-02,2013-04-23,2013-05-02,2013-05-11,0.32381,0.33625,0.36055,0.31615,0.3846
readingma,DB,0001,rising,gcc_90,2014-04-29,2014-05-05,2014-05-14,2014-04-23,2014-05-02,2014-05-08,2014-05-02,2014-05-08,2014-05-17,0.32393,0.33601,0.36514,0.31632,0.3789
readingma,DB,0001,rising,gcc_90,2015-04-29,2015-05-02,2015-05-11,2015-04-23,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-14,0.32766,0.33421,0.36352,0.31663,0.37545
readingma,DB,0001,rising,gcc_75,2012-04-16,2012-04-19,2012-05-01,2012-04-10,2012-04-16,2012-04-25,2012-04-19,2012-04-22,2012-05-04,0.33149,0.33729,0.35972,0.32028,0.38671
readingma,DB,0001,rising,gcc_75,2013-04-20,2013-04-29,2013-05-08,2013-04-14,2013-04-23,2013-05-02,2013-04-23,2013-05-02,2013-05-11,0.32267,0.3358,0.35833,0.31461,0.38248
readingma,DB,0001,rising,gcc_75,2014-04-26,2014-05-05,2014-05-14,2014-04-11,2014-04-29,2014-05-05,2014-04-29,2014-05-08,2014-05-17,0.32133,0.33545,0.36132,0.3138,0.37602
readingma,DB,0001,rising,gcc_75,2015-04-26,2015-05-02,2015-05-11,2015-04-20,2015-04-26,2015-05-02,2015-04-29,2015-05-05,2015-05-14,0.32192,0.33418,0.36106,0.31434,0.37384
readingma,DB,0001,rising,gcc_50,2012-04-16,2012-04-19,2012-05-01,2012-04-10,2012-04-16,2012-04-25,2012-04-19,2012-04-22,2012-05-04,0.32915,0.33504,0.35641,0.3178,0.38351
readingma,DB,0001,rising,gcc_50,2013-04-17,2013-04-26,2013-05-08,2013-04-08,2013-04-23,2013-05-02,2013-04-20,2013-04-29,2013-05-11,0.31906,0.32815,0.35509,0.31062,0.37932
readingma,DB,0001,rising,gcc_50,2014-04-23,2014-05-05,2014-05-14,2014-04-08,2014-04-29,2014-05-05,2014-04-29,2014-05-08,2014-05-17,0.31752,0.33267,0.35805,0.31117,0.37316
readingma,DB,0001,rising,gcc_50,2015-04-23,2015-05-02,2015-05-08,2015-04-17,2015-04-26,2015-05-02,2015-04-26,2015-05-05,2015-05-11,0.31765,0.33254,0.35047,0.31126,0.37148
readingma,DB,0001,rising,gcc_mean,2012-04-16,2012-04-19,2012-05-01,2012-04-10,2012-04-16,2012-04-25,2012-04-19,2012-04-22,2012-05-04,0.32847,0.33469,0.35715,0.31845,0.38173
readingma,DB,0001,rising,gcc_mean,2013-04-17,2013-04-26,2013-05-08,2013-04-11,2013-04-23,2013-05-02,2013-04-20,2013-04-29,2013-05-11,0.31901,0.32785,0.35473,0.31087,0.3784
readingma,DB,0001,rising,gcc_mean,2014-04-17,2014-05-05,2014-05-14,2014-04-08,2014-04-29,2014-05-05,2014-04-26,2014-05-08,2014-05-17,0.31688,0.33206,0.35803,0.31076,0.37083
readingma,DB,0001,rising,gcc_mean,2015-04-26,2015-05-02,2015-05-11,2015-04-17,2015-04-26,2015-05-02,2015-04-29,2015-05-05,2015-05-14,0.31748,0.32902,0.35625,0.30956,0.36822
readingma,DB,0001,falling,gcc_90,2015-10-17,2015-10-11,2015-10-02,2015-10-23,2015-10-14,2015-10-08,2015-10-14,2015-10-08,2015-09-29,0.32847,0.33802,0.35389,0.32181,0.37545
readingma,DB,0001,falling,gcc_90,2014-10-23,2014-10-11,2014-09-23,2014-10-29,2014-10-17,2014-10-02,2014-10-17,2014-10-08,2014-09-20,0.32305,0.33299,0.35578,0.31663,0.3789
readingma,DB,0001,falling,gcc_90,2013-10-29,2013-10-08,2013-09-23,2013-11-25,2013-10-14,2013-10-02,2013-10-23,2013-10-05,2013-09-20,0.32336,0.33619,0.35862,0.31632,0.3846
readingma,DB,0001,falling,gcc_90,2012-10-16,2012-10-04,2012-09-22,2012-10-22,2012-10-10,2012-10-01,2012-10-13,2012-10-01,2012-09-19,0.32357,0.33933,0.36262,0.31615,0.38902
readingma,DB,0001,falling,gcc_75,2015-10-17,2015-10-11,2015-09-29,2015-10-23,2015-10-17,2015-10-08,2015-10-14,2015-10-08,2015-09-26,0.3272,0.33671,0.3545,0.31991,0.37384
readingma,DB,0001,falling,gcc_75,2014-10-23,2014-10-11,2014-09-23,2014-10-29,2014-10-20,2014-10-02,2014-10-17,2014-10-08,2014-09-20,0.32238,0.33189,0.35312,0.31434,0.37602
readingma,DB,0001,falling,gcc_75,2013-10-29,2013-10-11,2013-09-23,2013-11-25,2013-10-17,2013-09-29,2013-10-23,2013-10-08,2013-09-20,0.32137,0.33176,0.35488,0.3138,0.38248
readingma,DB,0001,falling,gcc_75,2012-10-16,2012-10-07,2012-09-22,2012-10-22,2012-10-10,2012-10-01,2012-10-13,2012-10-04,2012-09-19,0.32218,0.33291,0.36024,0.31461,0.38671
readingma,DB,0001,falling,gcc_50,2015-10-17,2015-10-11,2015-10-02,2015-10-23,2015-10-17,2015-10-08,2015-10-14,2015-10-08,2015-09-29,0.32392,0.33374,0.34879,0.31615,0.37148
readingma,DB,0001,falling,gcc_50,2014-10-23,2014-10-14,2014-09-26,2014-10-29,2014-10-20,2014-10-02,2014-10-17,2014-10-11,2014-09-23,0.31983,0.32807,0.3468,0.31126,0.37316
readingma,DB,0001,falling,gcc_50,2013-10-29,2013-10-11,2013-09-23,2013-11-25,2013-10-17,2013-10-02,2013-10-23,2013-10-08,2013-09-20,0.31838,0.32949,0.35264,0.31117,0.37932
readingma,DB,0001,falling,gcc_50,2012-10-16,2012-10-07,2012-09-25,2012-10-22,2012-10-10,2012-10-01,2012-10-13,2012-10-04,2012-09-22,0.31926,0.33077,0.35334,0.31062,0.38351
readingma,DB,0001,falling,gcc_mean,2015-10-17,2015-10-11,2015-10-02,2015-10-23,2015-10-17,2015-10-08,2015-10-14,2015-10-08,2015-09-29,0.32171,0.33151,0.34719,0.31424,0.36822
readingma,DB,0001,falling,gcc_mean,2014-10-23,2014-10-14,2014-09-26,2014-10-29,2014-10-20,2014-10-02,2014-10-17,2014-10-08,2014-09-23,0.31684,0.32497,0.34466,0.30956,0.37083
readingma,DB,0001,falling,gcc_mean,2013-10-29,2013-10-11,2013-09-23,2013-11-25,2013-10-17,2013-10-02,2013-10-23,2013-10-08,2013-09-20,0.318,0.32934,0.35261,0.31076,0.3784
readingma,DB,0001,falling,gcc_mean,2012-10-16,2012-10-07,2012-09-25,2012-10-22,2012-10-10,2012-10-01,2012-10-13,2012-10-04,2012-09-22,0.31898,0.33055,0.35382,0.31087,0.38173
