#
# Transition date estimate for russellsage
#
# Site: russellsage
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:48
# Spline RMSE gcc_mean: 0.01628
# Spline RMSE gcc_50: 0.01594
# Spline RMSE gcc_75: 0.01744
# Spline RMSE gcc_90: 0.02679
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
russellsage,DB,0001,rising,gcc_90,2014-03-27,2014-04-02,2014-04-11,2014-03-21,2014-03-30,2014-04-05,2014-03-30,2014-04-05,2014-04-14,0.3408,0.35427,0.38295,0.32979,0.41272
russellsage,DB,0001,rising,gcc_90,2015-03-24,2015-03-30,2015-04-08,2015-03-18,2015-03-27,2015-04-02,2015-03-27,2015-04-02,2015-04-11,0.34176,0.3586,0.39472,0.3304,0.41696
russellsage,DB,0001,rising,gcc_75,2014-03-27,2014-04-02,2014-04-14,2014-03-24,2014-03-30,2014-04-08,2014-03-30,2014-04-05,2014-04-17,0.3374,0.34997,0.38584,0.32917,0.41043
russellsage,DB,0001,rising,gcc_75,2015-03-27,2015-03-30,2015-04-08,2015-03-21,2015-03-27,2015-04-02,2015-03-30,2015-04-02,2015-04-11,0.34128,0.35064,0.39547,0.32946,0.41303
russellsage,DB,0001,rising,gcc_50,2014-03-30,2014-04-05,2014-04-14,2014-03-24,2014-03-30,2014-04-08,2014-04-02,2014-04-08,2014-04-17,0.3407,0.35403,0.38165,0.32794,0.40726
russellsage,DB,0001,rising,gcc_50,2015-03-27,2015-04-02,2015-04-08,2015-03-21,2015-03-27,2015-04-02,2015-03-30,2015-04-05,2015-04-11,0.33897,0.35702,0.3893,0.32835,0.40935
russellsage,DB,0001,rising,gcc_mean,2014-03-30,2014-04-02,2014-04-14,2014-03-24,2014-03-30,2014-04-08,2014-04-02,2014-04-05,2014-04-17,0.34132,0.34771,0.3815,0.32812,0.4059
russellsage,DB,0001,rising,gcc_mean,2015-03-27,2015-04-02,2015-04-08,2015-03-21,2015-03-27,2015-04-02,2015-03-30,2015-04-05,2015-04-11,0.33882,0.35688,0.38885,0.32832,0.40859
russellsage,DB,0001,falling,gcc_90,2015-12-01,2015-11-13,2015-10-23,2015-12-07,2015-12-07,2015-12-07,2015-09-11,2015-09-11,2015-09-11,0.34357,0.35684,0.37897,0.33388,0.41705
russellsage,DB,0001,falling,gcc_90,2014-11-22,2014-11-16,2014-10-29,2014-11-28,2014-11-19,2014-11-07,2014-11-19,2014-11-13,2014-10-26,0.342,0.35246,0.3746,0.3304,0.41272
russellsage,DB,0001,falling,gcc_75,2015-11-19,2015-11-13,2015-10-20,2015-12-07,2015-12-07,2015-12-07,2015-09-11,2015-09-11,2015-09-11,0.3436,0.35675,0.3777,0.33249,0.41317
russellsage,DB,0001,falling,gcc_75,2014-11-22,2014-11-16,2014-10-26,2014-11-25,2014-11-19,2014-11-07,2014-11-19,2014-11-13,2014-10-23,0.33836,0.3522,0.37292,0.32946,0.41043
russellsage,DB,0001,falling,gcc_50,2015-11-19,2015-11-13,2015-10-20,2015-12-07,2015-12-07,2015-12-07,2015-09-11,2015-09-11,2015-09-11,0.34057,0.35346,0.37394,0.33102,0.40947
russellsage,DB,0001,falling,gcc_50,2014-11-19,2014-11-16,2014-10-26,2014-11-25,2014-11-19,2014-11-04,2014-11-16,2014-11-13,2014-10-23,0.34257,0.34896,0.36987,0.32835,0.40726
russellsage,DB,0001,falling,gcc_mean,2015-11-19,2015-11-13,2015-10-20,2015-12-07,2015-12-07,2015-12-07,2015-09-11,2015-09-11,2015-09-11,0.34085,0.3539,0.37434,0.33125,0.40868
russellsage,DB,0001,falling,gcc_mean,2014-11-19,2014-11-16,2014-10-26,2014-11-25,2014-11-19,2014-11-04,2014-11-16,2014-11-13,2014-10-23,0.34281,0.34934,0.36991,0.32832,0.4059
