#
# Transition date estimate for sanford
#
# Site: sanford
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:49
# Spline RMSE gcc_mean: 0.01623
# Spline RMSE gcc_50: 0.01791
# Spline RMSE gcc_75: 0.01899
# Spline RMSE gcc_90: 0.01981
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sanford,DB,0001,rising,gcc_90,2015-04-29,2015-05-02,2015-05-08,2015-04-26,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.3336,0.35108,0.39077,0.31902,0.39396
sanford,DB,0001,rising,gcc_75,2015-04-29,2015-05-02,2015-05-08,2015-04-26,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.32948,0.34634,0.38605,0.31602,0.39147
sanford,DB,0001,rising,gcc_50,2015-04-29,2015-05-02,2015-05-08,2015-04-26,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.32417,0.34009,0.38015,0.31112,0.38824
sanford,DB,0001,rising,gcc_mean,2015-04-29,2015-05-02,2015-05-08,2015-04-26,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.325,0.3407,0.37886,0.31086,0.38541
sanford,DB,0001,falling,gcc_90,2015-10-20,2015-10-17,2015-10-08,2015-10-26,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-05,0.33469,0.34385,0.36167,0.31986,0.39396
sanford,DB,0001,falling,gcc_90,2014-10-17,2014-10-14,2014-10-05,2014-10-23,2014-10-17,2014-10-11,2014-10-14,2014-10-11,2014-10-02,0.32643,0.33584,0.359,0.31607,0.38717
sanford,DB,0001,falling,gcc_75,2015-10-20,2015-10-17,2015-10-08,2015-10-26,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-05,0.33261,0.34198,0.3605,0.31796,0.39147
sanford,DB,0001,falling,gcc_75,2014-10-17,2014-10-14,2014-10-05,2014-10-23,2014-10-17,2014-10-11,2014-10-14,2014-10-11,2014-10-02,0.32461,0.33381,0.35706,0.31266,0.38419
sanford,DB,0001,falling,gcc_50,2015-10-23,2015-10-17,2015-10-08,2015-10-26,2015-10-23,2015-10-14,2015-10-20,2015-10-14,2015-10-05,0.32063,0.33884,0.35853,0.31278,0.38824
sanford,DB,0001,falling,gcc_50,2014-10-20,2014-10-14,2014-10-05,2014-11-04,2014-10-17,2014-10-11,2014-10-17,2014-10-11,2014-10-02,0.31807,0.33151,0.35499,0.308,0.38134
sanford,DB,0001,falling,gcc_mean,2015-10-23,2015-10-17,2015-10-08,2015-10-26,2015-10-23,2015-10-17,2015-10-20,2015-10-14,2015-10-05,0.32132,0.33922,0.35592,0.31196,0.38541
sanford,DB,0001,falling,gcc_mean,2014-10-20,2014-10-14,2014-10-05,2014-11-04,2014-10-17,2014-10-11,2014-10-17,2014-10-11,2014-10-02,0.31834,0.33138,0.35346,0.30854,0.37921
