#
# Transition date estimate for shalehillsczo
#
# Site: shalehillsczo
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:15
# Spline RMSE gcc_mean: 0.0383
# Spline RMSE gcc_50: 0.03895
# Spline RMSE gcc_75: 0.03567
# Spline RMSE gcc_90: 0.03343
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shalehillsczo,DB,0001,rising,gcc_90,2013-04-29,2013-05-08,2013-05-20,2013-04-23,2013-05-02,2013-05-14,2013-05-02,2013-05-11,2013-05-23,0.33326,0.34307,0.36176,0.32734,0.37906
shalehillsczo,DB,0001,rising,gcc_90,2014-05-05,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-08,2014-05-14,2014-05-23,0.33171,0.3411,0.36256,0.32488,0.38213
shalehillsczo,DB,0001,rising,gcc_90,2015-04-26,2015-05-05,2015-05-14,2015-04-20,2015-04-29,2015-05-05,2015-04-29,2015-05-08,2015-05-17,0.32913,0.33891,0.35843,0.32412,0.36889
shalehillsczo,DB,0001,rising,gcc_75,2013-04-29,2013-05-08,2013-05-20,2013-04-20,2013-05-02,2013-05-11,2013-05-02,2013-05-11,2013-05-23,0.33263,0.34195,0.36023,0.32662,0.37631
shalehillsczo,DB,0001,rising,gcc_75,2014-05-05,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-08,2014-05-14,2014-05-23,0.33059,0.33972,0.36067,0.324,0.37909
shalehillsczo,DB,0001,rising,gcc_75,2015-04-26,2015-05-05,2015-05-14,2015-04-20,2015-04-29,2015-05-05,2015-04-29,2015-05-08,2015-05-17,0.32827,0.33798,0.35719,0.32334,0.36604
shalehillsczo,DB,0001,rising,gcc_50,2013-04-26,2013-05-08,2013-05-20,2013-04-14,2013-05-02,2013-05-11,2013-05-02,2013-05-11,2013-05-23,0.33039,0.33987,0.357,0.32543,0.37021
shalehillsczo,DB,0001,rising,gcc_50,2014-05-05,2014-05-11,2014-05-20,2014-04-29,2014-05-08,2014-05-14,2014-05-08,2014-05-14,2014-05-23,0.32891,0.33734,0.35652,0.32265,0.37281
shalehillsczo,DB,0001,rising,gcc_50,2015-04-26,2015-05-02,2015-05-11,2015-04-20,2015-04-29,2015-05-05,2015-04-29,2015-05-05,2015-05-14,0.32691,0.33228,0.34844,0.32198,0.36028
shalehillsczo,DB,0001,rising,gcc_mean,2013-04-26,2013-05-08,2013-05-20,2013-04-14,2013-05-02,2013-05-11,2013-05-02,2013-05-11,2013-05-23,0.32946,0.33881,0.35537,0.3248,0.36818
shalehillsczo,DB,0001,rising,gcc_mean,2014-05-05,2014-05-11,2014-05-20,2014-04-29,2014-05-08,2014-05-14,2014-05-08,2014-05-14,2014-05-23,0.32827,0.33673,0.35589,0.32199,0.37054
shalehillsczo,DB,0001,rising,gcc_mean,2015-04-26,2015-05-02,2015-05-11,2015-04-20,2015-04-29,2015-05-05,2015-04-29,2015-05-05,2015-05-14,0.32607,0.33134,0.34747,0.32134,0.35905
shalehillsczo,DB,0001,falling,gcc_90,2015-10-17,2015-10-08,2015-09-26,2015-10-23,2015-10-14,2015-10-02,2015-10-14,2015-10-05,2015-09-23,0.32959,0.33756,0.34977,0.3243,0.36889
shalehillsczo,DB,0001,falling,gcc_90,2014-10-14,2014-10-05,2014-09-17,2014-10-20,2014-10-08,2014-09-26,2014-10-11,2014-10-02,2014-09-14,0.33099,0.33941,0.35738,0.32412,0.38213
shalehillsczo,DB,0001,falling,gcc_90,2013-10-17,2013-10-05,2013-09-23,2013-10-23,2013-10-11,2013-09-29,2013-10-14,2013-10-02,2013-09-20,0.3304,0.34168,0.35657,0.32488,0.37906
shalehillsczo,DB,0001,falling,gcc_90,2012-10-13,2012-10-01,2012-09-19,2012-10-16,2012-10-07,2012-09-22,2012-10-10,2012-09-28,2012-07-30,0.33206,0.34379,0.35885,0.32578,0.38558
shalehillsczo,DB,0001,falling,gcc_75,2015-10-17,2015-10-08,2015-09-26,2015-10-23,2015-10-14,2015-10-02,2015-10-14,2015-10-05,2015-09-23,0.32883,0.33652,0.34852,0.32356,0.36604
shalehillsczo,DB,0001,falling,gcc_75,2014-10-14,2014-10-05,2014-09-17,2014-10-20,2014-10-08,2014-09-26,2014-10-11,2014-10-02,2014-09-14,0.32976,0.33783,0.35479,0.32334,0.37909
shalehillsczo,DB,0001,falling,gcc_75,2013-10-17,2013-10-05,2013-09-23,2013-10-23,2013-10-11,2013-09-29,2013-10-14,2013-10-02,2013-09-20,0.32979,0.34094,0.35518,0.324,0.37631
shalehillsczo,DB,0001,falling,gcc_75,2012-10-13,2012-10-01,2012-09-19,2012-10-19,2012-10-07,2012-09-22,2012-10-10,2012-09-28,2012-07-30,0.33138,0.34259,0.35726,0.32498,0.383
shalehillsczo,DB,0001,falling,gcc_50,2015-10-17,2015-10-08,2015-09-26,2015-10-23,2015-10-14,2015-10-05,2015-10-14,2015-10-05,2015-09-23,0.32734,0.33466,0.34588,0.32244,0.36028
shalehillsczo,DB,0001,falling,gcc_50,2014-10-14,2014-10-05,2014-09-20,2014-10-20,2014-10-11,2014-09-26,2014-10-11,2014-10-02,2014-09-17,0.32818,0.33597,0.34991,0.32198,0.37281
shalehillsczo,DB,0001,falling,gcc_50,2013-10-17,2013-10-08,2013-09-23,2013-10-23,2013-10-11,2013-10-02,2013-10-14,2013-10-05,2013-09-20,0.3284,0.33535,0.35241,0.32265,0.37021
shalehillsczo,DB,0001,falling,gcc_50,2012-10-13,2012-10-04,2012-09-19,2012-10-19,2012-10-07,2012-09-22,2012-10-10,2012-10-01,2012-07-30,0.3303,0.33799,0.35377,0.3239,0.37716
shalehillsczo,DB,0001,falling,gcc_mean,2015-10-17,2015-10-08,2015-09-26,2015-10-23,2015-10-14,2015-10-05,2015-10-14,2015-10-05,2015-09-23,0.3264,0.33368,0.34485,0.32184,0.35905
shalehillsczo,DB,0001,falling,gcc_mean,2014-10-14,2014-10-05,2014-09-20,2014-10-20,2014-10-08,2014-09-26,2014-10-11,2014-10-02,2014-09-17,0.32694,0.33439,0.34835,0.32134,0.37054
shalehillsczo,DB,0001,falling,gcc_mean,2013-10-17,2013-10-08,2013-09-23,2013-10-23,2013-10-11,2013-10-02,2013-10-14,2013-10-05,2013-09-20,0.32758,0.33458,0.35134,0.32199,0.36818
shalehillsczo,DB,0001,falling,gcc_mean,2012-10-13,2012-10-04,2012-09-19,2012-10-19,2012-10-07,2012-09-22,2012-10-10,2012-10-01,2012-07-30,0.32945,0.33689,0.35292,0.32333,0.37361
