#
# Transition date estimate for shenandoah
#
# Site: shenandoah
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:15
# Spline RMSE gcc_mean: 0.08942
# Spline RMSE gcc_50: 0.09083
# Spline RMSE gcc_75: 0.09689
# Spline RMSE gcc_90: 0.10166
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shenandoah,DB,0001,rising,gcc_90,2010-04-17,2010-04-26,2010-05-08,2010-04-11,2010-04-20,2010-04-29,2010-04-20,2010-04-29,2010-05-11,0.33778,0.34475,0.35818,0.33383,0.37079
shenandoah,DB,0001,rising,gcc_90,2011-04-29,2011-05-05,2011-05-14,2011-04-20,2011-04-29,2011-05-05,2011-05-02,2011-05-08,2011-05-17,0.33874,0.34502,0.35835,0.33202,0.37173
shenandoah,DB,0001,rising,gcc_90,2012-04-16,2012-04-28,2012-05-10,2012-04-01,2012-04-22,2012-05-04,2012-04-19,2012-05-01,2012-05-13,0.33808,0.34623,0.36017,0.33256,0.37646
shenandoah,DB,0001,rising,gcc_90,2013-05-05,2013-05-11,2013-05-20,2013-04-29,2013-05-05,2013-05-11,2013-05-08,2013-05-14,2013-05-23,0.33813,0.3469,0.36024,0.33192,0.37337
shenandoah,DB,0001,rising,gcc_90,2014-05-05,2014-05-11,2014-05-20,2014-04-29,2014-05-05,2014-05-14,2014-05-08,2014-05-14,2014-05-23,0.33759,0.34553,0.35968,0.33289,0.37387
shenandoah,DB,0001,rising,gcc_90,2015-04-29,2015-05-05,2015-05-14,2015-04-23,2015-04-29,2015-04-29,2015-05-02,2015-05-23,2015-05-23,0.33751,0.34409,0.3624,0.33169,0.37115
shenandoah,DB,0001,rising,gcc_75,2010-04-20,2010-04-26,2010-05-08,2010-04-11,2010-04-20,2010-04-29,2010-04-23,2010-04-29,2010-05-11,0.33737,0.34197,0.35412,0.33206,0.3666
shenandoah,DB,0001,rising,gcc_75,2011-04-29,2011-05-05,2011-05-14,2011-04-20,2011-04-29,2011-05-08,2011-05-02,2011-05-08,2011-05-17,0.33589,0.34177,0.35435,0.32972,0.36762
shenandoah,DB,0001,rising,gcc_75,2012-04-13,2012-04-25,2012-05-10,2012-03-26,2012-04-19,2012-05-01,2012-04-19,2012-04-28,2012-05-13,0.33468,0.34061,0.35605,0.33017,0.37177
shenandoah,DB,0001,rising,gcc_75,2013-05-02,2013-05-08,2013-05-20,2013-04-26,2013-05-05,2013-05-11,2013-05-05,2013-05-11,2013-05-23,0.33381,0.34047,0.35788,0.3296,0.36893
shenandoah,DB,0001,rising,gcc_75,2014-05-05,2014-05-11,2014-05-20,2014-04-29,2014-05-05,2014-05-14,2014-05-08,2014-05-14,2014-05-23,0.33521,0.34314,0.35627,0.33079,0.36908
shenandoah,DB,0001,rising,gcc_75,2015-04-29,2015-05-05,2015-05-14,2015-04-23,2015-04-29,2015-04-29,2015-05-02,2015-05-23,2015-05-23,0.33478,0.34133,0.35883,0.32946,0.36599
shenandoah,DB,0001,rising,gcc_50,2010-04-17,2010-04-23,2010-05-08,2010-04-08,2010-04-17,2010-04-26,2010-04-20,2010-04-26,2010-05-11,0.33231,0.33656,0.34692,0.32882,0.35768
shenandoah,DB,0001,rising,gcc_50,2011-04-23,2011-05-02,2011-05-14,2011-04-17,2011-04-26,2011-05-05,2011-04-26,2011-05-05,2011-05-17,0.32912,0.33559,0.34853,0.3251,0.35847
shenandoah,DB,0001,rising,gcc_50,2012-04-13,2012-04-22,2012-05-07,2012-03-26,2012-04-16,2012-04-28,2012-04-19,2012-04-25,2012-05-10,0.33112,0.33625,0.34761,0.32683,0.36246
shenandoah,DB,0001,rising,gcc_50,2013-04-29,2013-05-05,2013-05-17,2013-04-20,2013-04-29,2013-05-08,2013-05-02,2013-05-08,2013-05-20,0.33057,0.33468,0.34955,0.32603,0.36016
shenandoah,DB,0001,rising,gcc_50,2014-05-05,2014-05-11,2014-05-20,2014-04-26,2014-05-05,2014-05-11,2014-05-08,2014-05-14,2014-05-23,0.33162,0.33808,0.34961,0.32693,0.35827
shenandoah,DB,0001,rising,gcc_50,2015-04-26,2015-05-02,2015-05-14,2015-04-20,2015-04-29,2015-04-29,2015-05-02,2015-05-23,2015-05-23,0.32896,0.33328,0.34446,0.32575,0.35264
shenandoah,DB,0001,rising,gcc_mean,2010-04-20,2010-04-26,2010-05-08,2010-04-14,2010-04-20,2010-04-29,2010-04-23,2010-04-29,2010-05-11,0.33204,0.33639,0.34665,0.32749,0.35727
shenandoah,DB,0001,rising,gcc_mean,2011-04-26,2011-05-02,2011-05-14,2011-04-20,2011-04-29,2011-05-05,2011-04-29,2011-05-05,2011-05-17,0.32833,0.33369,0.34788,0.32438,0.35887
shenandoah,DB,0001,rising,gcc_mean,2012-04-07,2012-04-22,2012-05-07,2012-03-23,2012-04-16,2012-05-01,2012-04-16,2012-04-28,2012-05-10,0.32881,0.33399,0.34617,0.32485,0.36122
shenandoah,DB,0001,rising,gcc_mean,2013-05-02,2013-05-08,2013-05-17,2013-04-26,2013-05-02,2013-05-08,2013-05-05,2013-05-11,2013-05-20,0.33004,0.33658,0.34835,0.32528,0.36076
shenandoah,DB,0001,rising,gcc_mean,2014-05-05,2014-05-11,2014-05-20,2014-04-29,2014-05-05,2014-05-11,2014-05-08,2014-05-14,2014-05-23,0.33009,0.33685,0.34811,0.3258,0.35721
shenandoah,DB,0001,rising,gcc_mean,2015-04-29,2015-05-05,2015-05-14,2015-04-23,2015-04-29,2015-04-29,2015-05-02,2015-05-23,2015-05-23,0.32829,0.33447,0.34755,0.32465,0.35317
shenandoah,DB,0001,falling,gcc_90,2015-11-01,2015-10-23,2015-10-05,2015-11-07,2015-10-29,2015-10-14,2015-10-29,2015-10-20,2015-10-02,0.33577,0.3416,0.35319,0.3317,0.37102
shenandoah,DB,0001,falling,gcc_90,2014-10-14,2014-10-05,2014-09-17,2014-10-20,2014-10-11,2014-09-26,2014-10-11,2014-10-02,2014-09-14,0.33684,0.34353,0.35468,0.33169,0.37387
shenandoah,DB,0001,falling,gcc_90,2013-10-14,2013-10-08,2013-09-20,2013-10-20,2013-10-14,2013-09-29,2013-10-11,2013-10-05,2013-09-17,0.3386,0.3435,0.3564,0.33289,0.37337
shenandoah,DB,0001,falling,gcc_90,2012-10-16,2012-10-04,2012-09-13,2012-10-22,2012-10-10,2012-09-25,2012-10-13,2012-10-01,2012-09-07,0.33704,0.34498,0.35546,0.33192,0.37646
shenandoah,DB,0001,falling,gcc_90,2011-10-17,2011-10-08,2011-07-31,2011-10-23,2011-10-14,2011-08-30,2011-10-14,2011-10-05,2011-07-10,0.33712,0.34331,0.35845,0.33256,0.37173
shenandoah,DB,0001,falling,gcc_90,2010-10-17,2010-10-08,2010-09-23,2010-10-23,2010-10-14,2010-10-02,2010-10-14,2010-10-05,2010-09-20,0.33726,0.34376,0.35298,0.33202,0.37079
shenandoah,DB,0001,falling,gcc_75,2015-11-01,2015-10-23,2015-10-08,2015-11-10,2015-10-29,2015-10-17,2015-10-29,2015-10-20,2015-10-05,0.33368,0.3398,0.34919,0.32894,0.36569
shenandoah,DB,0001,falling,gcc_75,2014-10-14,2014-10-05,2014-09-14,2014-10-23,2014-10-11,2014-09-26,2014-10-11,2014-10-02,2014-07-28,0.3349,0.3409,0.35065,0.32946,0.36908
shenandoah,DB,0001,falling,gcc_75,2013-10-14,2013-10-05,2013-09-20,2013-10-20,2013-10-11,2013-09-29,2013-10-11,2013-10-02,2013-09-17,0.33577,0.34232,0.35193,0.33079,0.36893
shenandoah,DB,0001,falling,gcc_75,2012-10-16,2012-10-07,2012-09-13,2012-10-22,2012-10-10,2012-09-25,2012-10-10,2012-10-01,2012-09-07,0.33438,0.34025,0.35212,0.3296,0.37177
shenandoah,DB,0001,falling,gcc_75,2011-10-17,2011-10-08,2011-07-31,2011-10-23,2011-10-14,2011-08-30,2011-10-14,2011-10-05,2011-07-10,0.33481,0.34026,0.35428,0.33017,0.36762
shenandoah,DB,0001,falling,gcc_75,2010-10-20,2010-10-11,2010-09-26,2010-10-26,2010-10-17,2010-10-05,2010-10-17,2010-10-08,2010-09-23,0.33355,0.33962,0.34985,0.32972,0.3666
shenandoah,DB,0001,falling,gcc_50,2015-11-10,2015-11-01,2015-10-14,2015-11-19,2015-11-07,2015-10-26,2015-11-04,2015-10-29,2015-10-11,0.32816,0.33274,0.34265,0.32528,0.35254
shenandoah,DB,0001,falling,gcc_50,2014-10-17,2014-10-08,2014-09-17,2014-10-23,2014-10-14,2014-09-29,2014-10-14,2014-10-05,2014-09-11,0.32967,0.33479,0.34354,0.32568,0.35827
shenandoah,DB,0001,falling,gcc_50,2013-10-14,2013-10-08,2013-09-20,2013-10-23,2013-10-14,2013-09-29,2013-10-11,2013-10-05,2013-09-17,0.33217,0.33634,0.34489,0.32693,0.36016
shenandoah,DB,0001,falling,gcc_50,2012-10-16,2012-10-07,2012-09-13,2012-10-25,2012-10-13,2012-09-25,2012-10-13,2012-10-01,2012-08-17,0.33064,0.33566,0.34548,0.32603,0.36246
shenandoah,DB,0001,falling,gcc_50,2011-10-17,2011-10-08,2011-08-06,2011-10-26,2011-10-17,2011-08-30,2011-10-14,2011-10-05,2011-07-10,0.33092,0.3362,0.34315,0.32683,0.35847
shenandoah,DB,0001,falling,gcc_50,2010-10-23,2010-10-14,2010-09-26,2010-11-01,2010-10-20,2010-10-08,2010-10-17,2010-10-11,2010-09-23,0.32863,0.33374,0.3434,0.3251,0.35768
shenandoah,DB,0001,falling,gcc_mean,2015-11-01,2015-10-26,2015-10-14,2015-11-13,2015-11-01,2015-10-23,2015-10-29,2015-10-23,2015-10-11,0.32974,0.33411,0.34231,0.32542,0.35298
shenandoah,DB,0001,falling,gcc_mean,2014-10-17,2014-10-08,2014-09-20,2014-10-23,2014-10-14,2014-09-29,2014-10-14,2014-10-05,2014-09-14,0.32846,0.33366,0.34202,0.32462,0.35721
shenandoah,DB,0001,falling,gcc_mean,2013-10-14,2013-10-08,2013-09-20,2013-10-20,2013-10-14,2013-09-29,2013-10-11,2013-10-02,2013-09-17,0.33056,0.33476,0.34488,0.3258,0.36076
shenandoah,DB,0001,falling,gcc_mean,2012-10-13,2012-10-04,2012-09-16,2012-10-22,2012-10-10,2012-09-28,2012-10-10,2012-10-01,2012-09-04,0.33015,0.33589,0.34405,0.32528,0.36122
shenandoah,DB,0001,falling,gcc_mean,2011-10-17,2011-10-11,2011-07-31,2011-10-26,2011-10-17,2011-08-30,2011-10-14,2011-10-08,2011-07-10,0.33016,0.3337,0.34718,0.32485,0.35887
shenandoah,DB,0001,falling,gcc_mean,2010-10-20,2010-10-11,2010-09-26,2010-10-26,2010-10-17,2010-10-05,2010-10-17,2010-10-08,2010-09-23,0.32805,0.33381,0.34255,0.32438,0.35727
