#
# Transition date estimate for shiningrock
#
# Site: shiningrock
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2000
# Year max: 2001
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:15
# Spline RMSE gcc_mean: 0.0307
# Spline RMSE gcc_50: 0.03287
# Spline RMSE gcc_75: 0.03566
# Spline RMSE gcc_90: 0.0406
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shiningrock,DB,0001,rising,gcc_90,2001-04-29,2001-05-05,2001-05-20,2001-04-23,2001-04-23,2001-05-14,2001-05-17,2001-05-17,2001-05-23,0.38275,0.3983,0.43481,0.36523,0.49078
shiningrock,DB,0001,rising,gcc_75,2001-04-29,2001-05-05,2001-05-23,2001-04-23,2001-04-23,2001-05-14,2001-05-17,2001-05-17,2001-05-26,0.38115,0.39607,0.43847,0.36402,0.48846
shiningrock,DB,0001,rising,gcc_50,2001-04-29,2001-05-08,2001-05-23,2001-04-23,2001-04-23,2001-05-17,2001-05-17,2001-05-17,2001-05-26,0.37775,0.39912,0.43314,0.36198,0.48482
shiningrock,DB,0001,rising,gcc_mean,2001-04-29,2001-05-08,2001-05-23,2001-04-23,2001-04-23,2001-05-17,2001-05-17,2001-05-17,2001-05-26,0.37706,0.39892,0.43312,0.3618,0.48415
shiningrock,DB,0001,falling,gcc_90,2001-10-17,2001-10-11,2001-09-23,2001-10-23,2001-10-14,2001-09-29,2001-10-14,2001-10-08,2001-09-20,0.37894,0.39431,0.4333,0.36101,0.49074
shiningrock,DB,0001,falling,gcc_90,2000-10-19,2000-10-04,2000-09-19,2000-10-22,2000-10-10,2000-09-25,2000-10-16,2000-10-01,2000-09-16,0.3741,0.39939,0.43943,0.36096,0.49233
shiningrock,DB,0001,falling,gcc_75,2001-10-17,2001-10-11,2001-09-23,2001-10-20,2001-10-14,2001-09-29,2001-10-14,2001-10-08,2001-09-20,0.37706,0.39225,0.43059,0.35954,0.48841
shiningrock,DB,0001,falling,gcc_75,2000-10-19,2000-10-07,2000-09-19,2000-10-25,2000-10-10,2000-09-25,2000-10-16,2000-10-04,2000-09-16,0.37277,0.39209,0.43646,0.35922,0.48705
shiningrock,DB,0001,falling,gcc_50,2001-10-17,2001-10-08,2001-09-23,2001-10-20,2001-10-14,2001-09-29,2001-10-14,2001-10-05,2001-09-20,0.37401,0.39729,0.42588,0.35697,0.48474
shiningrock,DB,0001,falling,gcc_50,2000-10-19,2000-10-07,2000-09-19,2000-10-25,2000-10-10,2000-09-25,2000-10-16,2000-10-04,2000-09-16,0.3705,0.39008,0.43124,0.35694,0.48291
shiningrock,DB,0001,falling,gcc_mean,2001-10-17,2001-10-11,2001-09-23,2001-10-20,2001-10-14,2001-09-29,2001-10-14,2001-10-08,2001-09-20,0.37506,0.39016,0.42723,0.35782,0.48413
shiningrock,DB,0001,falling,gcc_mean,2000-10-19,2000-10-07,2000-09-19,2000-10-22,2000-10-10,2000-09-25,2000-10-16,2000-10-04,2000-09-16,0.37056,0.39009,0.43277,0.3574,0.48153
