#
# Transition date estimate for silaslittle
#
# Site: silaslittle
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:50
# Spline RMSE gcc_mean: 0.13869
# Spline RMSE gcc_50: 0.14796
# Spline RMSE gcc_75: 0.14612
# Spline RMSE gcc_90: 0.12881
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
silaslittle,DB,0001,rising,gcc_90,2013-05-02,2013-05-05,2013-05-11,2013-04-08,2013-05-02,2013-05-05,2013-05-05,2013-05-08,2013-05-14,0.47782,0.49353,0.53195,0.4652,0.55591
silaslittle,DB,0001,rising,gcc_90,2014-03-09,2014-05-05,2014-05-17,2014-02-22,2014-04-20,2014-05-08,2014-04-26,2014-05-08,2014-05-20,0.46021,0.48279,0.54084,0.44725,0.57271
silaslittle,DB,0001,rising,gcc_90,2015-04-08,2015-04-26,2015-05-08,2015-03-06,2015-04-17,2015-04-29,2015-04-20,2015-04-29,2015-05-11,0.46215,0.48144,0.54122,0.4489,0.57833
silaslittle,DB,0001,rising,gcc_75,2013-05-02,2013-05-05,2013-05-14,2013-04-20,2013-05-02,2013-05-05,2013-05-05,2013-05-08,2013-05-17,0.4626,0.4776,0.52805,0.45037,0.54508
silaslittle,DB,0001,rising,gcc_75,2014-03-12,2014-05-05,2014-05-14,2014-02-16,2014-04-29,2014-05-08,2014-05-02,2014-05-08,2014-05-17,0.44715,0.46989,0.51264,0.43346,0.561
silaslittle,DB,0001,rising,gcc_75,2015-04-20,2015-04-29,2015-05-08,2015-03-09,2015-04-20,2015-05-02,2015-04-26,2015-05-02,2015-05-11,0.45543,0.47918,0.52486,0.43944,0.56884
silaslittle,DB,0001,rising,gcc_50,2013-05-02,2013-05-05,2013-05-14,2013-04-17,2013-04-29,2013-05-05,2013-05-05,2013-05-08,2013-05-17,0.44654,0.46121,0.5106,0.43203,0.53167
silaslittle,DB,0001,rising,gcc_50,2014-04-29,2014-05-08,2014-05-17,2014-02-28,2014-05-02,2014-05-08,2014-05-05,2014-05-11,2014-05-20,0.43294,0.46493,0.51306,0.41969,0.54863
silaslittle,DB,0001,rising,gcc_50,2015-04-23,2015-05-02,2015-05-11,2015-03-24,2015-04-26,2015-05-02,2015-04-29,2015-05-05,2015-05-14,0.43939,0.46638,0.52301,0.42401,0.55811
silaslittle,DB,0001,rising,gcc_mean,2013-05-02,2013-05-05,2013-05-11,2013-04-17,2013-04-29,2013-05-05,2013-05-05,2013-05-08,2013-05-14,0.4483,0.46239,0.49585,0.43246,0.52063
silaslittle,DB,0001,rising,gcc_mean,2014-04-23,2014-05-05,2014-05-14,2014-02-25,2014-04-29,2014-05-08,2014-05-05,2014-05-08,2014-05-17,0.43343,0.4519,0.49365,0.42098,0.53841
silaslittle,DB,0001,rising,gcc_mean,2015-04-23,2015-05-02,2015-05-11,2015-03-12,2015-04-23,2015-05-02,2015-04-26,2015-05-05,2015-05-14,0.43905,0.46479,0.51823,0.42365,0.54654
silaslittle,DB,0001,falling,gcc_90,2015-10-20,2015-10-17,2015-10-11,2015-10-23,2015-10-20,2015-10-17,2015-10-17,2015-10-14,2015-10-08,0.45594,0.48256,0.52503,0.43859,0.57833
silaslittle,DB,0001,falling,gcc_90,2014-10-23,2014-10-20,2014-10-11,2014-10-29,2014-10-26,2014-10-17,2014-10-20,2014-10-17,2014-10-08,0.46909,0.48557,0.52663,0.4489,0.57271
silaslittle,DB,0001,falling,gcc_90,2013-10-23,2013-10-20,2013-10-11,2013-10-26,2013-10-23,2013-10-20,2013-10-20,2013-10-17,2013-10-08,0.45897,0.47842,0.51767,0.44725,0.55591
