#
# Transition date estimate for silverton
#
# Site: silverton
# Veg Type: AG
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2014
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:50
# Spline RMSE gcc_mean: 0.03044
# Spline RMSE gcc_50: 0.03281
# Spline RMSE gcc_75: 0.02934
# Spline RMSE gcc_90: 0.0302
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
silverton,AG,0002,rising,gcc_90,2014-02-13,2014-02-19,2014-03-03,2014-02-10,2014-02-13,2014-02-22,2014-02-16,2014-02-22,2014-03-06,0.35959,0.36942,0.38514,0.3535,0.40549
silverton,AG,0002,rising,gcc_75,2014-02-13,2014-02-19,2014-03-03,2014-02-07,2014-02-13,2014-02-22,2014-02-16,2014-02-22,2014-03-06,0.35851,0.36784,0.38251,0.35086,0.4019
silverton,AG,0002,rising,gcc_50,2014-02-13,2014-02-19,2014-03-06,2014-02-10,2014-02-13,2014-02-28,2014-02-16,2014-02-22,2014-03-09,0.35264,0.36225,0.37988,0.34751,0.39807
silverton,AG,0002,rising,gcc_mean,2014-02-13,2014-02-19,2014-03-06,2014-02-10,2014-02-13,2014-02-25,2014-02-16,2014-02-22,2014-03-09,0.35321,0.36176,0.37989,0.34662,0.39619
silverton,AG,0002,falling,gcc_90,2014-07-13,2014-07-10,2014-06-28,2014-07-19,2014-07-13,2014-07-07,2014-07-10,2014-07-07,2014-06-25,0.34789,0.35564,0.37535,0.33776,0.40549
silverton,AG,0002,falling,gcc_90,2013-12-19,2013-12-04,2013-11-25,2013-12-28,2013-12-13,2013-12-01,2013-12-10,2013-12-01,2013-11-22,0.35985,0.36851,0.38359,0.3535,0.39991
silverton,AG,0002,falling,gcc_75,2014-07-13,2014-07-10,2014-06-28,2014-07-16,2014-07-13,2014-07-07,2014-07-10,2014-07-07,2014-06-25,0.34582,0.35319,0.37279,0.3369,0.4019
silverton,AG,0002,falling,gcc_75,2013-12-19,2013-12-04,2013-11-25,2013-12-25,2013-12-13,2013-12-01,2013-12-10,2013-12-01,2013-11-22,0.35615,0.3657,0.38155,0.35086,0.39686
silverton,AG,0002,falling,gcc_50,2014-07-13,2014-07-07,2014-06-28,2014-07-16,2014-07-13,2014-07-04,2014-07-10,2014-07-04,2014-06-19,0.34343,0.357,0.36927,0.33603,0.39807
silverton,AG,0002,falling,gcc_50,2013-12-10,2013-12-04,2013-11-25,2013-12-22,2013-12-10,2013-12-04,2013-12-07,2013-12-01,2013-11-22,0.35356,0.36175,0.3768,0.34751,0.39198
silverton,AG,0002,falling,gcc_mean,2014-07-13,2014-07-07,2014-06-25,2014-07-16,2014-07-13,2014-07-04,2014-07-10,2014-07-04,2014-06-19,0.34315,0.35587,0.36821,0.33577,0.39619
silverton,AG,0002,falling,gcc_mean,2013-12-13,2013-12-07,2013-11-28,2013-12-25,2013-12-13,2013-12-04,2013-12-07,2013-12-04,2013-11-25,0.35201,0.3574,0.37164,0.34662,0.38694
