#
# Transition date estimate for smokylook
#
# Site: smokylook
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2000
# Year max: 2002
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:51
# Spline RMSE gcc_mean: 0.10801
# Spline RMSE gcc_50: 0.1122
# Spline RMSE gcc_75: 0.09003
# Spline RMSE gcc_90: 0.08576
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokylook,DB,0001,rising,gcc_90,2000-04-25,2000-04-28,2000-05-07,2000-04-22,2000-04-25,2000-04-28,2000-04-28,2000-05-01,2000-05-10,0.32293,0.33813,0.38043,0.31207,0.40232
smokylook,DB,0001,rising,gcc_90,2001-04-20,2001-04-23,2001-05-02,2001-04-14,2001-04-17,2001-04-23,2001-04-23,2001-04-26,2001-05-05,0.32284,0.33199,0.3693,0.30549,0.39409
smokylook,DB,0001,rising,gcc_90,2002-04-17,2002-04-20,2002-05-02,2002-04-11,2002-04-14,2002-04-23,2002-04-20,2002-04-23,2002-05-05,0.32459,0.33434,0.37691,0.30426,0.412
smokylook,DB,0001,rising,gcc_75,2000-04-25,2000-04-28,2000-05-07,2000-04-22,2000-04-25,2000-04-28,2000-04-28,2000-05-01,2000-05-10,0.3211,0.33658,0.37938,0.31044,0.39973
smokylook,DB,0001,rising,gcc_75,2001-04-17,2001-04-23,2001-05-02,2001-04-11,2001-04-17,2001-04-23,2001-04-20,2001-04-26,2001-05-05,0.31136,0.32964,0.36675,0.30216,0.39101
smokylook,DB,0001,rising,gcc_75,2002-04-17,2002-04-20,2002-05-02,2002-04-11,2002-04-14,2002-04-23,2002-04-20,2002-04-23,2002-05-05,0.3213,0.33087,0.3746,0.30146,0.4101
smokylook,DB,0001,rising,gcc_50,2000-04-25,2000-04-28,2000-05-07,2000-04-16,2000-04-22,2000-04-28,2000-04-28,2000-05-01,2000-05-10,0.32491,0.33873,0.37232,0.30759,0.39845
smokylook,DB,0001,rising,gcc_50,2001-04-17,2001-04-20,2001-05-02,2001-04-08,2001-04-14,2001-04-23,2001-04-20,2001-04-23,2001-05-05,0.31041,0.31949,0.36053,0.29546,0.3852
smokylook,DB,0001,rising,gcc_50,2002-04-14,2002-04-20,2002-05-02,2002-04-05,2002-04-14,2002-04-23,2002-04-17,2002-04-23,2002-05-05,0.3112,0.32902,0.36805,0.29713,0.40719
smokylook,DB,0001,rising,gcc_mean,2000-04-25,2000-04-28,2000-05-07,2000-04-16,2000-04-22,2000-04-28,2000-04-28,2000-05-01,2000-05-10,0.32226,0.33626,0.37045,0.30509,0.39802
smokylook,DB,0001,rising,gcc_mean,2001-04-17,2001-04-20,2001-05-02,2001-04-08,2001-04-14,2001-04-23,2001-04-20,2001-04-23,2001-05-05,0.30889,0.31808,0.35935,0.29346,0.38466
smokylook,DB,0001,rising,gcc_mean,2002-04-14,2002-04-20,2002-05-02,2002-04-02,2002-04-14,2002-04-23,2002-04-17,2002-04-23,2002-05-05,0.31033,0.32615,0.36128,0.29497,0.40286
smokylook,DB,0001,falling,gcc_90,2001-10-20,2001-10-14,2001-10-05,2001-10-26,2001-10-20,2001-10-14,2001-10-17,2001-10-11,2001-10-02,0.31664,0.33682,0.36468,0.30556,0.39409
smokylook,DB,0001,falling,gcc_90,2000-10-25,2000-10-19,2000-10-07,2000-10-31,2000-10-25,2000-10-16,2000-10-22,2000-10-16,2000-10-04,0.31839,0.33535,0.36562,0.30549,0.40232
smokylook,DB,0001,falling,gcc_75,2001-10-20,2001-10-14,2001-10-05,2001-10-26,2001-10-20,2001-10-14,2001-10-17,2001-10-11,2001-10-02,0.31428,0.33414,0.36172,0.30271,0.39101
smokylook,DB,0001,falling,gcc_75,2000-10-25,2000-10-19,2000-10-07,2000-11-03,2000-10-25,2000-10-16,2000-10-22,2000-10-16,2000-10-04,0.31611,0.3336,0.36366,0.30216,0.39973
smokylook,DB,0001,falling,gcc_50,2001-10-23,2001-10-17,2001-10-05,2001-11-01,2001-10-23,2001-10-14,2001-10-17,2001-10-14,2001-10-02,0.3092,0.32102,0.3527,0.29812,0.3852
smokylook,DB,0001,falling,gcc_50,2000-10-28,2000-10-22,2000-10-07,2000-11-09,2000-10-28,2000-10-16,2000-10-25,2000-10-19,2000-10-04,0.30905,0.32406,0.35579,0.29546,0.39845
smokylook,DB,0001,falling,gcc_mean,2001-10-23,2001-10-17,2001-10-05,2001-11-01,2001-10-23,2001-10-14,2001-10-17,2001-10-14,2001-10-02,0.30784,0.31934,0.35018,0.29649,0.38466
smokylook,DB,0001,falling,gcc_mean,2000-10-28,2000-10-22,2000-10-07,2000-11-09,2000-10-28,2000-10-16,2000-10-25,2000-10-19,2000-10-04,0.30871,0.3233,0.35495,0.29346,0.39802
