#
# Transition date estimate for smokypurchase
#
# Site: smokypurchase
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2003
# Year max: 2005
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:17
# Spline RMSE gcc_mean: 0.11095
# Spline RMSE gcc_50: 0.11095
# Spline RMSE gcc_75: 0.11095
# Spline RMSE gcc_90: 0.11095
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokypurchase,DB,0001,rising,gcc_90,2004-04-28,2004-05-04,2004-05-16,2004-04-25,2004-05-01,2004-05-10,2004-05-01,2004-05-07,2004-05-19,0.33663,0.35635,0.40107,0.32404,0.43735
smokypurchase,DB,0001,rising,gcc_90,2005-05-08,2005-05-17,2005-05-26,2005-05-02,2005-05-11,2005-05-20,2005-05-11,2005-05-20,2005-05-29,0.34047,0.36301,0.40001,0.32555,0.44221
smokypurchase,DB,0001,rising,gcc_75,2004-04-28,2004-05-04,2004-05-16,2004-04-25,2004-05-01,2004-05-10,2004-05-01,2004-05-07,2004-05-19,0.33663,0.35635,0.40107,0.32404,0.43735
smokypurchase,DB,0001,rising,gcc_75,2005-05-08,2005-05-17,2005-05-26,2005-05-02,2005-05-11,2005-05-20,2005-05-11,2005-05-20,2005-05-29,0.34047,0.36301,0.40001,0.32555,0.44221
smokypurchase,DB,0001,rising,gcc_50,2004-04-28,2004-05-04,2004-05-16,2004-04-25,2004-05-01,2004-05-10,2004-05-01,2004-05-07,2004-05-19,0.33663,0.35635,0.40107,0.32404,0.43735
smokypurchase,DB,0001,rising,gcc_50,2005-05-08,2005-05-17,2005-05-26,2005-05-02,2005-05-11,2005-05-20,2005-05-11,2005-05-20,2005-05-29,0.34047,0.36301,0.40001,0.32555,0.44221
smokypurchase,DB,0001,rising,gcc_mean,2004-04-28,2004-05-04,2004-05-16,2004-04-25,2004-05-01,2004-05-10,2004-05-01,2004-05-07,2004-05-19,0.33663,0.35635,0.40107,0.32404,0.43735
smokypurchase,DB,0001,rising,gcc_mean,2005-05-08,2005-05-17,2005-05-26,2005-05-02,2005-05-11,2005-05-20,2005-05-11,2005-05-20,2005-05-29,0.34047,0.36301,0.40001,0.32555,0.44221
smokypurchase,DB,0001,falling,gcc_90,2005-11-01,2005-10-20,2005-09-11,2005-11-07,2005-10-26,2005-10-02,2005-10-29,2005-10-17,2005-09-05,0.33936,0.35885,0.38366,0.32473,0.43986
smokypurchase,DB,0001,falling,gcc_90,2004-10-16,2004-10-04,2004-09-16,2004-10-19,2004-10-10,2004-09-25,2004-10-13,2004-10-01,2004-09-13,0.33762,0.35865,0.38402,0.32555,0.43735
smokypurchase,DB,0001,falling,gcc_90,2003-10-17,2003-10-11,2003-10-02,2003-10-23,2003-10-14,2003-10-08,2003-10-14,2003-10-08,2003-09-29,0.33218,0.34184,0.36131,0.32361,0.38747
smokypurchase,DB,0001,falling,gcc_75,2005-11-01,2005-10-20,2005-09-11,2005-11-07,2005-10-26,2005-10-02,2005-10-29,2005-10-17,2005-09-05,0.33936,0.35885,0.38366,0.32473,0.43986
smokypurchase,DB,0001,falling,gcc_75,2004-10-16,2004-10-04,2004-09-16,2004-10-19,2004-10-10,2004-09-25,2004-10-13,2004-10-01,2004-09-13,0.33762,0.35865,0.38402,0.32555,0.43735
smokypurchase,DB,0001,falling,gcc_75,2003-10-17,2003-10-11,2003-10-02,2003-10-23,2003-10-14,2003-10-08,2003-10-14,2003-10-08,2003-09-29,0.33218,0.34184,0.36131,0.32361,0.38747
smokypurchase,DB,0001,falling,gcc_50,2005-11-01,2005-10-20,2005-09-11,2005-11-07,2005-10-26,2005-10-02,2005-10-29,2005-10-17,2005-09-05,0.33936,0.35885,0.38366,0.32473,0.43986
smokypurchase,DB,0001,falling,gcc_50,2004-10-16,2004-10-04,2004-09-16,2004-10-19,2004-10-10,2004-09-25,2004-10-13,2004-10-01,2004-09-13,0.33762,0.35865,0.38402,0.32555,0.43735
smokypurchase,DB,0001,falling,gcc_50,2003-10-17,2003-10-11,2003-10-02,2003-10-23,2003-10-14,2003-10-08,2003-10-14,2003-10-08,2003-09-29,0.33218,0.34184,0.36131,0.32361,0.38747
smokypurchase,DB,0001,falling,gcc_mean,2005-11-01,2005-10-20,2005-09-11,2005-11-07,2005-10-26,2005-10-02,2005-10-29,2005-10-17,2005-09-05,0.33936,0.35885,0.38366,0.32473,0.43986
smokypurchase,DB,0001,falling,gcc_mean,2004-10-16,2004-10-04,2004-09-16,2004-10-19,2004-10-10,2004-09-25,2004-10-13,2004-10-01,2004-09-13,0.33762,0.35865,0.38402,0.32555,0.43735
smokypurchase,DB,0001,falling,gcc_mean,2003-10-17,2003-10-11,2003-10-02,2003-10-23,2003-10-14,2003-10-08,2003-10-14,2003-10-08,2003-09-29,0.33218,0.34184,0.36131,0.32361,0.38747
