#
# Transition date estimate for smokypurchase
#
# Site: smokypurchase
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2004
# Year max: 2005
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:18
# Spline RMSE gcc_mean: 0.09295
# Spline RMSE gcc_50: 0.09295
# Spline RMSE gcc_75: 0.09295
# Spline RMSE gcc_90: 0.09295
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
smokypurchase,GR,0001,rising,gcc_90,2004-04-16,2004-04-25,2004-05-10,2004-04-10,2004-04-22,2004-05-04,2004-04-19,2004-04-28,2004-05-13,0.35369,0.37192,0.41092,0.33789,0.46168
smokypurchase,GR,0001,rising,gcc_90,2005-04-08,2005-04-20,2005-05-05,2005-04-02,2005-04-14,2005-04-29,2005-04-11,2005-04-23,2005-05-08,0.34334,0.35734,0.38248,0.33305,0.42014
smokypurchase,GR,0001,rising,gcc_75,2004-04-16,2004-04-25,2004-05-10,2004-04-10,2004-04-22,2004-05-04,2004-04-19,2004-04-28,2004-05-13,0.35369,0.37192,0.41092,0.33789,0.46168
smokypurchase,GR,0001,rising,gcc_75,2005-04-08,2005-04-20,2005-05-05,2005-04-02,2005-04-14,2005-04-29,2005-04-11,2005-04-23,2005-05-08,0.34334,0.35734,0.38248,0.33305,0.42014
smokypurchase,GR,0001,rising,gcc_50,2004-04-16,2004-04-25,2004-05-10,2004-04-10,2004-04-22,2004-05-04,2004-04-19,2004-04-28,2004-05-13,0.35369,0.37192,0.41092,0.33789,0.46168
smokypurchase,GR,0001,rising,gcc_50,2005-04-08,2005-04-20,2005-05-05,2005-04-02,2005-04-14,2005-04-29,2005-04-11,2005-04-23,2005-05-08,0.34334,0.35734,0.38248,0.33305,0.42014
smokypurchase,GR,0001,rising,gcc_mean,2004-04-16,2004-04-25,2004-05-10,2004-04-10,2004-04-22,2004-05-04,2004-04-19,2004-04-28,2004-05-13,0.35369,0.37192,0.41092,0.33789,0.46168
smokypurchase,GR,0001,rising,gcc_mean,2005-04-08,2005-04-20,2005-05-05,2005-04-02,2005-04-14,2005-04-29,2005-04-11,2005-04-23,2005-05-08,0.34334,0.35734,0.38248,0.33305,0.42014
smokypurchase,GR,0001,falling,gcc_90,2005-11-01,2005-10-02,2005-08-06,2005-11-10,2005-10-11,2005-08-21,2005-10-26,2005-09-29,2005-07-16,0.34466,0.35828,0.37881,0.33624,0.42014
smokypurchase,GR,0001,falling,gcc_90,2004-11-09,2004-10-07,2004-08-11,2004-11-18,2004-10-16,2004-08-20,2004-11-06,2004-10-04,2004-08-08,0.3472,0.366,0.39784,0.33305,0.45843
smokypurchase,GR,0001,falling,gcc_75,2005-11-01,2005-10-02,2005-08-06,2005-11-10,2005-10-11,2005-08-21,2005-10-26,2005-09-29,2005-07-16,0.34466,0.35828,0.37881,0.33624,0.42014
smokypurchase,GR,0001,falling,gcc_75,2004-11-09,2004-10-07,2004-08-11,2004-11-18,2004-10-16,2004-08-20,2004-11-06,2004-10-04,2004-08-08,0.3472,0.366,0.39784,0.33305,0.45843
smokypurchase,GR,0001,falling,gcc_50,2005-11-01,2005-10-02,2005-08-06,2005-11-10,2005-10-11,2005-08-21,2005-10-26,2005-09-29,2005-07-16,0.34466,0.35828,0.37881,0.33624,0.42014
smokypurchase,GR,0001,falling,gcc_50,2004-11-09,2004-10-07,2004-08-11,2004-11-18,2004-10-16,2004-08-20,2004-11-06,2004-10-04,2004-08-08,0.3472,0.366,0.39784,0.33305,0.45843
smokypurchase,GR,0001,falling,gcc_mean,2005-11-01,2005-10-02,2005-08-06,2005-11-10,2005-10-11,2005-08-21,2005-10-26,2005-09-29,2005-07-16,0.34466,0.35828,0.37881,0.33624,0.42014
smokypurchase,GR,0001,falling,gcc_mean,2004-11-09,2004-10-07,2004-08-11,2004-11-18,2004-10-16,2004-08-20,2004-11-06,2004-10-04,2004-08-08,0.3472,0.366,0.39784,0.33305,0.45843
