#
# Transition date estimate for snakerivermn
#
# Site: snakerivermn
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:18
# Spline RMSE gcc_mean: 0.02581
# Spline RMSE gcc_50: 0.02574
# Spline RMSE gcc_75: 0.02766
# Spline RMSE gcc_90: 0.02764
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
snakerivermn,DB,0002,rising,gcc_90,2011-05-14,2011-05-17,2011-05-29,2011-05-11,2011-05-14,2011-05-23,2011-05-17,2011-05-20,2011-06-01,0.34839,0.35257,0.36896,0.34185,0.38438
snakerivermn,DB,0002,rising,gcc_90,2012-05-07,2012-05-13,2012-05-22,2012-05-04,2012-05-10,2012-05-16,2012-05-10,2012-05-16,2012-05-25,0.34604,0.35149,0.3634,0.34209,0.37431
snakerivermn,DB,0002,rising,gcc_90,2013-05-20,2013-05-26,2013-06-04,2013-05-14,2013-05-20,2013-05-29,2013-05-23,2013-05-29,2013-06-07,0.34695,0.35318,0.36678,0.34146,0.37789
snakerivermn,DB,0002,rising,gcc_90,2014-05-17,2014-05-20,2014-05-29,2014-05-11,2014-05-17,2014-05-23,2014-05-20,2014-05-23,2014-06-01,0.34806,0.35268,0.3678,0.34326,0.37821
snakerivermn,DB,0002,rising,gcc_90,2015-05-08,2015-05-14,2015-05-26,2015-05-05,2015-05-11,2015-05-17,2015-05-11,2015-05-17,2015-05-29,0.3486,0.35667,0.37422,0.34359,0.38978
snakerivermn,DB,0002,rising,gcc_75,2011-05-14,2011-05-17,2011-05-29,2011-05-11,2011-05-14,2011-05-23,2011-05-17,2011-05-20,2011-06-01,0.34839,0.35257,0.36896,0.34183,0.38438
snakerivermn,DB,0002,rising,gcc_75,2012-05-07,2012-05-13,2012-05-22,2012-05-04,2012-05-10,2012-05-16,2012-05-10,2012-05-16,2012-05-25,0.34605,0.35149,0.36338,0.34209,0.37431
snakerivermn,DB,0002,rising,gcc_75,2013-05-20,2013-05-26,2013-06-04,2013-05-14,2013-05-20,2013-05-29,2013-05-23,2013-05-29,2013-06-07,0.3469,0.35313,0.36671,0.34146,0.37785
snakerivermn,DB,0002,rising,gcc_75,2014-05-17,2014-05-20,2014-05-29,2014-05-11,2014-05-17,2014-05-23,2014-05-20,2014-05-23,2014-06-01,0.34806,0.35268,0.3678,0.34326,0.37821
snakerivermn,DB,0002,rising,gcc_75,2015-05-08,2015-05-14,2015-05-26,2015-05-05,2015-05-11,2015-05-17,2015-05-11,2015-05-17,2015-05-29,0.3476,0.35555,0.37278,0.34293,0.38788
snakerivermn,DB,0002,rising,gcc_50,2011-05-14,2011-05-20,2011-05-29,2011-05-11,2011-05-17,2011-05-23,2011-05-17,2011-05-23,2011-06-01,0.34721,0.3547,0.37028,0.3419,0.38494
snakerivermn,DB,0002,rising,gcc_50,2012-05-10,2012-05-13,2012-05-22,2012-05-04,2012-05-10,2012-05-16,2012-05-13,2012-05-16,2012-05-25,0.3479,0.35132,0.36436,0.34209,0.37439
snakerivermn,DB,0002,rising,gcc_50,2013-05-20,2013-05-26,2013-06-04,2013-05-17,2013-05-23,2013-05-29,2013-05-23,2013-05-29,2013-06-07,0.34595,0.35288,0.36625,0.34123,0.37843
snakerivermn,DB,0002,rising,gcc_50,2014-05-17,2014-05-23,2014-05-29,2014-05-14,2014-05-17,2014-05-23,2014-05-20,2014-05-26,2014-06-01,0.34722,0.35607,0.36736,0.34333,0.37907
