#
# Transition date estimate for snipelake
#
# Site: snipelake
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2012
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:18
# Spline RMSE gcc_mean: 0.02097
# Spline RMSE gcc_50: 0.02141
# Spline RMSE gcc_75: 0.02118
# Spline RMSE gcc_90: 0.02217
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
snipelake,GR,0001,rising,gcc_90,2011-05-05,2011-06-07,2011-06-19,2011-04-26,2011-06-01,2011-06-13,2011-05-08,2011-06-10,2011-06-22,0.33537,0.34182,0.35327,0.33113,0.36732
snipelake,GR,0001,rising,gcc_90,2012-04-16,2012-06-03,2012-06-18,2012-04-10,2012-05-28,2012-06-12,2012-04-19,2012-06-06,2012-06-21,0.3344,0.3413,0.35702,0.33001,0.37144
snipelake,GR,0001,rising,gcc_75,2011-05-02,2011-06-04,2011-06-19,2011-04-26,2011-06-01,2011-06-13,2011-05-08,2011-06-07,2011-06-22,0.33423,0.33969,0.35288,0.33056,0.36636
snipelake,GR,0001,rising,gcc_75,2012-04-16,2012-06-03,2012-06-18,2012-04-10,2012-05-28,2012-06-12,2012-04-19,2012-06-06,2012-06-21,0.33409,0.3408,0.35647,0.32971,0.37094
snipelake,GR,0001,rising,gcc_50,2011-05-05,2011-06-04,2011-06-19,2011-04-26,2011-06-01,2011-06-13,2011-05-08,2011-06-07,2011-06-22,0.33454,0.33924,0.35222,0.33036,0.36525
snipelake,GR,0001,rising,gcc_50,2012-04-16,2012-06-03,2012-06-18,2012-04-10,2012-05-28,2012-06-12,2012-04-19,2012-06-06,2012-06-21,0.33365,0.34018,0.35583,0.32939,0.37006
snipelake,GR,0001,rising,gcc_mean,2011-05-02,2011-06-04,2011-06-19,2011-04-26,2011-06-01,2011-06-13,2011-05-08,2011-06-07,2011-06-22,0.33373,0.33921,0.35226,0.33016,0.3654
snipelake,GR,0001,rising,gcc_mean,2012-04-16,2012-06-03,2012-06-18,2012-04-10,2012-05-28,2012-06-12,2012-04-19,2012-06-06,2012-06-21,0.33363,0.34018,0.35575,0.32931,0.36976
snipelake,GR,0001,falling,gcc_90,2012-09-19,2012-09-10,2012-08-26,2012-09-25,2012-09-16,2012-09-04,2012-09-16,2012-09-07,2012-08-23,0.33548,0.34284,0.35415,0.33014,0.37144
snipelake,GR,0001,falling,gcc_90,2011-10-05,2011-09-11,2011-08-27,2011-10-14,2011-09-17,2011-09-05,2011-09-29,2011-09-08,2011-08-24,0.33402,0.3411,0.35273,0.33001,0.36732
snipelake,GR,0001,falling,gcc_90,2010-10-02,2010-09-20,2010-08-27,2010-10-08,2010-09-26,2010-09-02,2010-09-29,2010-09-11,2010-08-24,0.33349,0.33768,0.34678,0.33071,0.35726
snipelake,GR,0001,falling,gcc_75,2012-09-19,2012-09-10,2012-08-26,2012-09-25,2012-09-16,2012-09-04,2012-09-16,2012-09-07,2012-08-23,0.33474,0.34221,0.35366,0.32982,0.37094
snipelake,GR,0001,falling,gcc_75,2011-10-05,2011-09-11,2011-08-27,2011-10-14,2011-09-17,2011-09-05,2011-09-26,2011-09-08,2011-08-24,0.33355,0.3406,0.35241,0.32971,0.36636
snipelake,GR,0001,falling,gcc_75,2010-10-02,2010-09-23,2010-08-27,2010-10-08,2010-09-26,2010-09-02,2010-09-29,2010-09-14,2010-08-24,0.33328,0.33671,0.34625,0.32984,0.35679
snipelake,GR,0001,falling,gcc_50,2012-09-19,2012-09-10,2012-08-29,2012-09-22,2012-09-13,2012-09-04,2012-09-16,2012-09-07,2012-08-26,0.33392,0.34157,0.35176,0.32936,0.37006
snipelake,GR,0001,falling,gcc_50,2011-09-23,2011-09-11,2011-08-27,2011-10-08,2011-09-17,2011-09-05,2011-09-20,2011-09-08,2011-08-24,0.33351,0.33953,0.35205,0.32939,0.36525
snipelake,GR,0001,falling,gcc_50,2010-10-02,2010-09-23,2010-08-27,2010-10-17,2010-09-29,2010-09-02,2010-09-29,2010-09-20,2010-08-24,0.33265,0.33621,0.34562,0.32894,0.35625
snipelake,GR,0001,falling,gcc_mean,2012-09-16,2012-09-10,2012-08-29,2012-09-22,2012-09-13,2012-09-04,2012-09-13,2012-09-07,2012-08-26,0.33537,0.34133,0.35176,0.32937,0.36976
snipelake,GR,0001,falling,gcc_mean,2011-09-23,2011-09-11,2011-08-27,2011-10-08,2011-09-14,2011-09-05,2011-09-20,2011-09-08,2011-08-24,0.33319,0.33921,0.35161,0.32931,0.3654
snipelake,GR,0001,falling,gcc_mean,2010-10-02,2010-09-23,2010-08-27,2010-10-11,2010-09-29,2010-09-02,2010-09-29,2010-09-20,2010-08-24,0.3324,0.33604,0.34551,0.32878,0.35616
