#
# Transition date estimate for southerngreatplains
#
# Site: southerngreatplains
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2014
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:52
# Spline RMSE gcc_mean: 0.05052
# Spline RMSE gcc_50: 0.05639
# Spline RMSE gcc_75: 0.0549
# Spline RMSE gcc_90: 0.05579
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
southerngreatplains,AG,0001,rising,gcc_90,2013-03-03,2013-03-12,2013-03-30,2013-02-01,2013-03-06,2013-03-21,2013-03-06,2013-03-15,2013-04-02,0.33865,0.35122,0.37732,0.32842,0.41354
southerngreatplains,AG,0001,rising,gcc_90,2014-02-28,2014-03-12,2014-03-21,2014-02-25,2014-03-09,2014-03-18,2014-03-03,2014-03-15,2014-03-24,0.34726,0.36323,0.38504,0.34009,0.40909
southerngreatplains,AG,0001,rising,gcc_75,2013-03-03,2013-03-12,2013-03-30,2013-01-29,2013-03-06,2013-03-21,2013-03-06,2013-03-15,2013-04-02,0.3372,0.34976,0.37527,0.32715,0.41064
southerngreatplains,AG,0001,rising,gcc_75,2014-02-25,2014-03-09,2014-03-18,2014-02-16,2014-03-03,2014-03-12,2014-02-28,2014-03-12,2014-03-21,0.34536,0.35459,0.37646,0.33873,0.39633
southerngreatplains,AG,0001,rising,gcc_50,2013-02-28,2013-03-12,2013-03-30,2013-01-26,2013-03-06,2013-03-21,2013-03-06,2013-03-15,2013-04-02,0.33389,0.34829,0.37286,0.32528,0.40657
southerngreatplains,AG,0001,rising,gcc_50,2014-03-03,2014-03-12,2014-03-21,2014-02-16,2014-03-06,2014-03-12,2014-03-06,2014-03-15,2014-03-24,0.34304,0.35727,0.3815,0.33675,0.39462
southerngreatplains,AG,0001,rising,gcc_mean,2013-02-28,2013-03-12,2013-03-30,2013-01-26,2013-03-06,2013-03-21,2013-03-06,2013-03-15,2013-04-02,0.33386,0.34803,0.37222,0.32551,0.40568
southerngreatplains,AG,0001,rising,gcc_mean,2014-02-25,2014-03-12,2014-03-18,2014-02-16,2014-03-03,2014-03-12,2014-02-28,2014-03-15,2014-03-21,0.343,0.35764,0.37346,0.33638,0.39393
southerngreatplains,AG,0001,falling,gcc_90,2014-10-26,2014-09-29,2014-09-14,2014-11-04,2014-10-05,2014-09-23,2014-10-05,2014-09-26,2014-09-11,0.33662,0.34847,0.3779,0.32738,0.40909
southerngreatplains,AG,0001,falling,gcc_90,2013-09-02,2013-08-30,2013-08-24,2013-09-05,2013-09-02,2013-08-27,2013-08-30,2013-08-27,2013-08-21,0.35388,0.36955,0.39455,0.34009,0.41354
southerngreatplains,AG,0001,falling,gcc_75,2014-10-20,2014-09-26,2014-09-11,2014-11-01,2014-10-02,2014-09-17,2014-10-02,2014-09-23,2014-09-08,0.33679,0.3505,0.38092,0.32678,0.42142
southerngreatplains,AG,0001,falling,gcc_75,2013-09-02,2013-08-30,2013-08-24,2013-09-05,2013-09-02,2013-08-27,2013-08-30,2013-08-27,2013-08-21,0.35271,0.36824,0.39249,0.33873,0.41064
southerngreatplains,AG,0001,falling,gcc_50,2014-10-20,2014-09-23,2014-09-11,2014-11-01,2014-10-02,2014-09-17,2014-10-02,2014-09-20,2014-09-08,0.33557,0.35395,0.37816,0.32583,0.41737
southerngreatplains,AG,0001,falling,gcc_50,2013-09-02,2013-09-02,2013-08-27,2013-09-05,2013-09-05,2013-08-30,2013-08-30,2013-08-30,2013-08-24,0.35773,0.35773,0.38557,0.33675,0.40657
southerngreatplains,AG,0001,falling,gcc_mean,2014-10-20,2014-09-26,2014-09-11,2014-11-01,2014-10-02,2014-09-20,2014-10-02,2014-09-23,2014-09-08,0.33494,0.34865,0.37819,0.32545,0.41584
southerngreatplains,AG,0001,falling,gcc_mean,2013-09-02,2013-08-30,2013-08-24,2013-09-05,2013-09-02,2013-08-27,2013-08-30,2013-08-27,2013-08-21,0.34719,0.36207,0.38656,0.33638,0.40568
