#
# Transition date estimate for springfieldma
#
# Site: springfieldma
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:53
# Spline RMSE gcc_mean: 0.03699
# Spline RMSE gcc_50: 0.03931
# Spline RMSE gcc_75: 0.03527
# Spline RMSE gcc_90: 0.03871
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
springfieldma,DB,0001,rising,gcc_90,2013-04-29,2013-05-02,2013-05-08,2013-04-26,2013-04-26,2013-04-29,2013-05-02,2013-05-05,2013-05-11,0.34512,0.35978,0.38821,0.33518,0.38744
springfieldma,DB,0001,rising,gcc_90,2014-05-02,2014-05-05,2014-05-11,2014-04-26,2014-05-02,2014-05-05,2014-05-05,2014-05-08,2014-05-14,0.33391,0.34522,0.37216,0.32615,0.37608
springfieldma,DB,0001,rising,gcc_90,2015-04-29,2015-05-02,2015-05-08,2015-04-23,2015-04-26,2015-04-29,2015-05-02,2015-05-05,2015-05-11,0.3345,0.34564,0.3751,0.3233,0.37404
springfieldma,DB,0001,rising,gcc_75,2013-04-29,2013-05-02,2013-05-08,2013-04-26,2013-04-29,2013-04-29,2013-05-02,2013-05-05,2013-05-11,0.34085,0.35585,0.38601,0.33242,0.3834
springfieldma,DB,0001,rising,gcc_75,2014-05-02,2014-05-05,2014-05-11,2014-04-26,2014-05-02,2014-05-05,2014-05-05,2014-05-08,2014-05-14,0.33122,0.34168,0.36955,0.3237,0.37101
springfieldma,DB,0001,rising,gcc_75,2015-04-29,2015-05-02,2015-05-08,2015-04-23,2015-04-26,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.33042,0.34071,0.37258,0.32142,0.37031
springfieldma,DB,0001,rising,gcc_50,2013-04-29,2013-05-02,2013-05-08,2013-04-26,2013-04-26,2013-04-29,2013-05-02,2013-05-05,2013-05-11,0.33825,0.35261,0.38109,0.329,0.37755
springfieldma,DB,0001,rising,gcc_50,2014-04-29,2014-05-05,2014-05-11,2014-04-23,2014-04-29,2014-05-05,2014-05-02,2014-05-08,2014-05-14,0.32586,0.33824,0.36372,0.32042,0.36603
springfieldma,DB,0001,rising,gcc_50,2015-04-29,2015-05-02,2015-05-08,2015-04-23,2015-04-26,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.32769,0.33729,0.36698,0.3176,0.36538
springfieldma,DB,0001,rising,gcc_mean,2013-04-29,2013-05-02,2013-05-08,2013-04-26,2013-04-26,2013-04-29,2013-05-02,2013-05-05,2013-05-11,0.33736,0.35174,0.38037,0.32871,0.37769
springfieldma,DB,0001,rising,gcc_mean,2014-04-29,2014-05-05,2014-05-11,2014-04-23,2014-04-29,2014-05-05,2014-05-02,2014-05-08,2014-05-14,0.32517,0.33799,0.36344,0.32017,0.36577
springfieldma,DB,0001,rising,gcc_mean,2015-04-29,2015-05-02,2015-05-08,2015-04-23,2015-04-26,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.32588,0.336,0.36641,0.31605,0.36449
springfieldma,DB,0001,falling,gcc_90,2015-10-14,2015-10-08,2015-09-23,2015-10-20,2015-10-14,2015-10-02,2015-10-11,2015-10-05,2015-09-20,0.33663,0.34202,0.35631,0.33077,0.37404
springfieldma,DB,0001,falling,gcc_90,2014-10-23,2014-10-20,2014-09-23,2014-10-29,2014-10-26,2014-10-17,2014-10-20,2014-10-17,2014-09-17,0.336,0.34086,0.35122,0.3233,0.37608
springfieldma,DB,0001,falling,gcc_90,2013-10-20,2013-10-14,2013-09-02,2013-10-23,2013-10-20,2013-10-11,2013-10-17,2013-10-11,2013-07-04,0.33607,0.34608,0.35757,0.32615,0.38744
springfieldma,DB,0001,falling,gcc_90,2012-10-19,2012-10-16,2012-10-07,2012-10-22,2012-10-19,2012-10-16,2012-10-16,2012-10-13,2012-10-04,0.33711,0.34593,0.35903,0.32715,0.38372
springfieldma,DB,0001,falling,gcc_75,2015-10-14,2015-10-05,2015-09-23,2015-10-17,2015-10-14,2015-10-02,2015-10-08,2015-10-02,2015-09-20,0.3342,0.34244,0.35284,0.32986,0.37031
springfieldma,DB,0001,falling,gcc_75,2014-10-23,2014-10-23,2014-09-20,2014-10-29,2014-10-26,2014-10-17,2014-10-20,2014-10-20,2014-09-14,0.33396,0.33396,0.34874,0.32142,0.37101
springfieldma,DB,0001,falling,gcc_75,2013-10-20,2013-10-14,2013-09-02,2013-10-23,2013-10-20,2013-09-23,2013-10-17,2013-10-11,2013-07-04,0.33098,0.34295,0.35428,0.3237,0.3834
springfieldma,DB,0001,falling,gcc_75,2012-10-19,2012-10-16,2012-10-07,2012-10-22,2012-10-19,2012-10-16,2012-10-16,2012-10-13,2012-10-04,0.33242,0.34377,0.35725,0.32536,0.37944
springfieldma,DB,0001,falling,gcc_50,2015-10-11,2015-10-05,2015-09-23,2015-10-17,2015-10-11,2015-10-02,2015-10-05,2015-09-29,2015-09-05,0.33327,0.33846,0.34886,0.32836,0.36538
