#
# Transition date estimate for teddy
#
# Site: teddy
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:18
# Spline RMSE gcc_mean: 0.02509
# Spline RMSE gcc_50: 0.02686
# Spline RMSE gcc_75: 0.02549
# Spline RMSE gcc_90: 0.02443
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
teddy,GR,0001,rising,gcc_90,2011-05-05,2011-05-14,2011-05-29,2011-04-29,2011-05-11,2011-05-23,2011-05-08,2011-05-17,2011-06-01,0.33172,0.33672,0.34805,0.32776,0.36069
teddy,GR,0001,rising,gcc_90,2013-05-08,2013-05-17,2013-05-29,2013-05-05,2013-05-11,2013-05-23,2013-05-11,2013-05-20,2013-06-01,0.33195,0.3385,0.34822,0.32836,0.36029
teddy,GR,0001,rising,gcc_90,2014-05-05,2014-05-14,2014-05-29,2014-05-02,2014-05-11,2014-05-23,2014-05-08,2014-05-17,2014-06-01,0.33034,0.33516,0.34699,0.32693,0.35964
teddy,GR,0001,rising,gcc_90,2015-04-14,2015-05-05,2015-05-23,2015-04-05,2015-04-29,2015-05-17,2015-04-20,2015-05-08,2015-05-26,0.32938,0.33278,0.3395,0.32732,0.34729
teddy,GR,0001,rising,gcc_75,2011-05-05,2011-05-14,2011-05-29,2011-04-29,2011-05-11,2011-05-23,2011-05-08,2011-05-17,2011-06-01,0.33131,0.33622,0.34705,0.32731,0.35896
teddy,GR,0001,rising,gcc_75,2013-05-08,2013-05-14,2013-05-29,2013-05-02,2013-05-11,2013-05-20,2013-05-11,2013-05-17,2013-06-01,0.33185,0.33578,0.34714,0.32777,0.35839
teddy,GR,0001,rising,gcc_75,2014-05-05,2014-05-14,2014-05-29,2014-04-29,2014-05-11,2014-05-23,2014-05-08,2014-05-17,2014-06-01,0.33017,0.33515,0.34585,0.32618,0.35734
teddy,GR,0001,rising,gcc_75,2015-04-14,2015-05-02,2015-05-23,2015-04-05,2015-04-26,2015-05-14,2015-04-17,2015-05-05,2015-05-26,0.32885,0.33179,0.33891,0.32668,0.34587
teddy,GR,0001,rising,gcc_50,2011-05-05,2011-05-14,2011-05-29,2011-04-29,2011-05-11,2011-05-23,2011-05-08,2011-05-17,2011-06-01,0.33023,0.33495,0.34539,0.32637,0.35703
teddy,GR,0001,rising,gcc_50,2013-05-05,2013-05-14,2013-05-29,2013-05-02,2013-05-11,2013-05-20,2013-05-08,2013-05-17,2013-06-01,0.32983,0.3348,0.34553,0.32668,0.35664
teddy,GR,0001,rising,gcc_50,2014-05-02,2014-05-11,2014-05-29,2014-04-23,2014-05-08,2014-05-20,2014-05-05,2014-05-14,2014-06-01,0.32854,0.3326,0.34446,0.32505,0.35505
teddy,GR,0001,rising,gcc_50,2015-04-11,2015-05-02,2015-05-20,2015-03-30,2015-04-23,2015-05-14,2015-04-17,2015-05-05,2015-05-23,0.32763,0.33108,0.33664,0.32565,0.34465
teddy,GR,0001,rising,gcc_mean,2011-05-05,2011-05-14,2011-05-29,2011-04-29,2011-05-08,2011-05-20,2011-05-08,2011-05-17,2011-06-01,0.32985,0.3348,0.34505,0.32562,0.35631
teddy,GR,0001,rising,gcc_mean,2013-05-05,2013-05-14,2013-05-26,2013-04-29,2013-05-11,2013-05-20,2013-05-08,2013-05-17,2013-05-29,0.32938,0.33423,0.34271,0.32549,0.35589
teddy,GR,0001,rising,gcc_mean,2014-05-02,2014-05-14,2014-05-29,2014-04-26,2014-05-08,2014-05-20,2014-05-05,2014-05-17,2014-06-01,0.3276,0.33367,0.34398,0.32442,0.35458
teddy,GR,0001,rising,gcc_mean,2015-04-11,2015-04-29,2015-05-20,2015-04-02,2015-04-23,2015-05-11,2015-04-17,2015-05-02,2015-05-23,0.32668,0.32958,0.33619,0.32468,0.34386
