#
# Transition date estimate for thompsonfarm2N
#
# Site: thompsonfarm2N
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:53
# Spline RMSE gcc_mean: 0.02159
# Spline RMSE gcc_50: 0.02315
# Spline RMSE gcc_75: 0.02797
# Spline RMSE gcc_90: 0.02795
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
thompsonfarm2N,DB,0002,rising,gcc_90,2011-05-05,2011-05-08,2011-05-17,2011-04-29,2011-05-05,2011-05-11,2011-05-08,2011-05-11,2011-05-20,0.32427,0.32869,0.34207,0.31824,0.35478
thompsonfarm2N,DB,0002,rising,gcc_90,2012-04-13,2012-04-22,2012-05-01,2012-04-07,2012-04-16,2012-04-25,2012-04-16,2012-04-25,2012-05-04,0.3174,0.3254,0.33651,0.31332,0.35242
thompsonfarm2N,DB,0002,rising,gcc_90,2013-04-26,2013-05-05,2013-05-14,2013-04-23,2013-04-29,2013-05-05,2013-04-29,2013-05-08,2013-05-17,0.3166,0.32609,0.33935,0.31273,0.3508
thompsonfarm2N,DB,0002,rising,gcc_90,2014-04-26,2014-05-05,2014-05-17,2014-04-17,2014-04-29,2014-05-08,2014-04-29,2014-05-08,2014-05-20,0.31512,0.32202,0.33883,0.31083,0.35084
thompsonfarm2N,DB,0002,rising,gcc_90,2015-04-26,2015-05-02,2015-05-14,2015-04-20,2015-04-29,2015-05-08,2015-04-29,2015-05-05,2015-05-17,0.31465,0.31981,0.33367,0.31029,0.34615
thompsonfarm2N,DB,0002,rising,gcc_75,2011-05-05,2011-05-08,2011-05-17,2011-04-29,2011-05-05,2011-05-11,2011-05-08,2011-05-11,2011-05-20,0.32224,0.32664,0.34025,0.31618,0.3529
thompsonfarm2N,DB,0002,rising,gcc_75,2012-04-16,2012-04-22,2012-05-01,2012-04-10,2012-04-16,2012-04-25,2012-04-19,2012-04-25,2012-05-04,0.31754,0.32368,0.3347,0.31141,0.35011
thompsonfarm2N,DB,0002,rising,gcc_75,2013-04-29,2013-05-05,2013-05-14,2013-04-23,2013-04-29,2013-05-05,2013-05-02,2013-05-08,2013-05-17,0.31724,0.32387,0.3374,0.31131,0.34865
thompsonfarm2N,DB,0002,rising,gcc_75,2014-04-29,2014-05-08,2014-05-17,2014-04-17,2014-05-02,2014-05-11,2014-05-02,2014-05-11,2014-05-20,0.31503,0.3228,0.33576,0.30963,0.34843
thompsonfarm2N,DB,0002,rising,gcc_75,2015-04-26,2015-05-02,2015-05-14,2015-04-20,2015-04-29,2015-05-08,2015-04-29,2015-05-05,2015-05-17,0.31314,0.31819,0.33224,0.30891,0.3432
