#
# Transition date estimate for thompsonfarm2N
#
# Site: thompsonfarm2N
# Veg Type: EN
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:54
# Spline RMSE gcc_mean: 0.02734
# Spline RMSE gcc_50: 0.02837
# Spline RMSE gcc_75: 0.02913
# Spline RMSE gcc_90: 0.02895
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
thompsonfarm2N,EN,0002,rising,gcc_90,2011-04-26,2011-04-29,2011-05-11,2011-04-20,2011-04-23,2011-04-29,2011-04-29,2011-05-02,2011-05-14,0.33973,0.34115,0.34522,0.33803,0.34878
thompsonfarm2N,EN,0002,rising,gcc_90,2012-03-20,2012-04-01,2012-04-19,2012-03-14,2012-03-26,2012-04-10,2012-03-23,2012-04-04,2012-04-22,0.32576,0.32962,0.3362,0.32272,0.34724
thompsonfarm2N,EN,0002,rising,gcc_90,2013-04-02,2013-04-14,2013-05-02,2013-03-27,2013-04-08,2013-04-23,2013-04-05,2013-04-17,2013-05-05,0.32126,0.32602,0.33471,0.31815,0.34651
thompsonfarm2N,EN,0002,rising,gcc_90,2014-04-02,2014-04-14,2014-05-02,2014-03-27,2014-04-08,2014-04-23,2014-04-05,2014-04-17,2014-05-05,0.31984,0.32489,0.33423,0.31652,0.34573
thompsonfarm2N,EN,0002,rising,gcc_90,2015-04-08,2015-04-17,2015-05-05,2015-04-02,2015-04-11,2015-04-26,2015-04-11,2015-04-20,2015-05-08,0.31913,0.32271,0.33178,0.3157,0.34309
thompsonfarm2N,EN,0002,rising,gcc_75,2011-04-26,2011-05-02,2011-05-11,2011-04-23,2011-04-26,2011-05-02,2011-04-29,2011-05-05,2011-05-14,0.3379,0.34038,0.34312,0.33674,0.34696
thompsonfarm2N,EN,0002,rising,gcc_75,2012-03-20,2012-04-01,2012-04-22,2012-03-14,2012-03-26,2012-04-13,2012-03-23,2012-04-04,2012-04-25,0.32383,0.32758,0.33506,0.32102,0.34555
thompsonfarm2N,EN,0002,rising,gcc_75,2013-04-02,2013-04-14,2013-05-02,2013-03-27,2013-04-08,2013-04-23,2013-04-05,2013-04-17,2013-05-05,0.31977,0.32443,0.33274,0.31642,0.34452
thompsonfarm2N,EN,0002,rising,gcc_75,2014-04-02,2014-04-11,2014-05-02,2014-03-24,2014-04-08,2014-04-23,2014-04-05,2014-04-14,2014-05-05,0.31855,0.32221,0.33224,0.3148,0.34358
thompsonfarm2N,EN,0002,rising,gcc_75,2015-04-08,2015-04-17,2015-05-05,2015-03-30,2015-04-11,2015-04-26,2015-04-11,2015-04-20,2015-05-08,0.31794,0.32164,0.32997,0.31412,0.34091
thompsonfarm2N,EN,0002,rising,gcc_50,2011-04-26,2011-05-02,2011-05-11,2011-04-23,2011-04-26,2011-05-02,2011-04-29,2011-05-05,2011-05-14,0.33547,0.33793,0.34058,0.33438,0.34437
thompsonfarm2N,EN,0002,rising,gcc_50,2012-03-17,2012-03-29,2012-04-19,2012-03-11,2012-03-23,2012-04-10,2012-03-20,2012-04-01,2012-04-22,0.32104,0.32484,0.33204,0.31852,0.34306
thompsonfarm2N,EN,0002,rising,gcc_50,2013-04-02,2013-04-11,2013-05-02,2013-03-24,2013-04-05,2013-04-23,2013-04-05,2013-04-14,2013-05-05,0.31781,0.32138,0.33064,0.31407,0.34222
