#
# Transition date estimate for tonzi
#
# Site: tonzi
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:19
# Spline RMSE gcc_mean: 0.04425
# Spline RMSE gcc_50: 0.04323
# Spline RMSE gcc_75: 0.03973
# Spline RMSE gcc_90: 0.04104
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tonzi,DB,0001,rising,gcc_90,2012-03-17,2012-03-29,2012-04-10,2012-03-11,2012-03-23,2012-04-04,2012-03-20,2012-04-01,2012-05-04,0.32003,0.32936,0.34333,0.31479,0.36366
tonzi,DB,0001,rising,gcc_90,2013-03-15,2013-03-21,2013-03-30,2013-03-12,2013-03-18,2013-03-24,2013-03-18,2013-03-24,2013-04-02,0.3245,0.33433,0.36071,0.31843,0.37814
tonzi,DB,0001,rising,gcc_90,2014-02-28,2014-03-06,2014-03-15,2014-02-22,2014-03-03,2014-03-09,2014-03-03,2014-03-09,2014-03-18,0.31937,0.32807,0.34869,0.31038,0.36938
tonzi,DB,0001,rising,gcc_90,2015-02-28,2015-03-03,2015-03-15,2015-02-22,2015-02-28,2015-03-06,2015-03-03,2015-03-06,2015-03-18,0.32961,0.33508,0.35991,0.32175,0.37227
tonzi,DB,0001,rising,gcc_75,2012-03-17,2012-03-26,2012-04-10,2012-03-08,2012-03-20,2012-04-04,2012-03-20,2012-03-29,2012-05-04,0.31853,0.32509,0.34128,0.31283,0.35744
tonzi,DB,0001,rising,gcc_75,2013-03-15,2013-03-21,2013-03-30,2013-03-12,2013-03-18,2013-03-24,2013-03-18,2013-03-24,2013-04-02,0.32309,0.33292,0.3586,0.31582,0.3745
tonzi,DB,0001,rising,gcc_75,2014-02-28,2014-03-06,2014-03-15,2014-02-22,2014-02-28,2014-03-09,2014-03-03,2014-03-09,2014-03-18,0.31704,0.32606,0.3464,0.30766,0.36602
tonzi,DB,0001,rising,gcc_75,2015-02-28,2015-03-03,2015-03-12,2015-02-22,2015-02-28,2015-03-06,2015-03-03,2015-03-06,2015-03-15,0.32819,0.33347,0.35,0.32014,0.36822
tonzi,DB,0001,rising,gcc_50,2012-03-14,2012-03-26,2012-04-10,2012-03-08,2012-03-20,2012-04-04,2012-03-17,2012-03-29,2012-05-04,0.31537,0.32329,0.3377,0.31054,0.35385
tonzi,DB,0001,rising,gcc_50,2013-03-12,2013-03-18,2013-03-30,2013-03-09,2013-03-15,2013-03-21,2013-03-15,2013-03-21,2013-04-02,0.31936,0.32883,0.35336,0.31303,0.36723
tonzi,DB,0001,rising,gcc_50,2014-02-25,2014-03-03,2014-03-15,2014-02-19,2014-02-28,2014-03-09,2014-02-28,2014-03-06,2014-03-18,0.31187,0.32114,0.34239,0.30438,0.35993
tonzi,DB,0001,rising,gcc_50,2015-02-22,2015-02-28,2015-03-12,2015-02-16,2015-02-25,2015-03-03,2015-02-25,2015-03-03,2015-03-15,0.32278,0.32911,0.34668,0.31752,0.36168
tonzi,DB,0001,rising,gcc_mean,2012-03-14,2012-03-23,2012-04-07,2012-03-05,2012-03-20,2012-04-04,2012-03-17,2012-03-26,2012-05-04,0.3149,0.32042,0.33366,0.31011,0.35046
tonzi,DB,0001,rising,gcc_mean,2013-03-12,2013-03-18,2013-03-30,2013-03-09,2013-03-15,2013-03-21,2013-03-15,2013-03-21,2013-04-02,0.31875,0.32801,0.35146,0.31305,0.36411
tonzi,DB,0001,rising,gcc_mean,2014-02-25,2014-03-03,2014-03-15,2014-02-19,2014-02-28,2014-03-06,2014-02-28,2014-03-06,2014-03-18,0.31163,0.32066,0.34105,0.30444,0.35775
tonzi,DB,0001,rising,gcc_mean,2015-02-22,2015-02-28,2015-03-12,2015-02-16,2015-02-25,2015-03-03,2015-02-25,2015-03-03,2015-03-15,0.32219,0.32824,0.34496,0.31732,0.35896
tonzi,DB,0001,falling,gcc_75,2013-08-24,2013-08-12,2013-06-25,2013-08-30,2013-08-18,2013-07-07,2013-08-21,2013-08-09,2013-05-26,0.31475,0.3252,0.33869,0.30766,0.36924
tonzi,DB,0001,falling,gcc_50,2013-08-24,2013-08-12,2013-07-01,2013-08-27,2013-08-18,2013-07-13,2013-08-21,2013-08-09,2013-06-28,0.31065,0.32072,0.335,0.30438,0.36334
tonzi,DB,0001,falling,gcc_mean,2013-08-24,2013-08-12,2013-07-04,2013-08-30,2013-08-18,2013-07-16,2013-08-21,2013-08-09,2013-06-28,0.3112,0.32038,0.33284,0.30444,0.35975
