#
# Transition date estimate for tonzi
#
# Site: tonzi
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:54
# Spline RMSE gcc_mean: 0.05519
# Spline RMSE gcc_50: 0.05274
# Spline RMSE gcc_75: 0.05044
# Spline RMSE gcc_90: 0.0453
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tonzi,GR,0001,rising,gcc_90,2012-03-05,2012-03-17,2012-04-04,2012-02-22,2012-03-11,2012-03-26,2012-03-08,2012-03-20,2012-04-07,0.30668,0.31531,0.3341,0.2988,0.36036
tonzi,GR,0001,rising,gcc_90,2013-02-28,2013-03-09,2013-03-24,2013-02-19,2013-03-06,2013-03-15,2013-03-03,2013-03-12,2013-03-27,0.3096,0.31805,0.34496,0.3022,0.36504
tonzi,GR,0001,rising,gcc_90,2014-03-09,2014-03-18,2014-04-02,2014-03-03,2014-03-15,2014-03-27,2014-03-12,2014-03-21,2014-04-05,0.3096,0.32174,0.34921,0.29975,0.38618
tonzi,GR,0001,rising,gcc_90,2015-01-23,2015-02-07,2015-03-06,2014-11-16,2015-02-04,2015-02-25,2015-01-26,2015-02-10,2015-03-09,0.30886,0.31912,0.34285,0.30159,0.37157
tonzi,GR,0001,rising,gcc_75,2012-02-28,2012-03-14,2012-04-01,2012-02-19,2012-03-05,2012-03-23,2012-03-05,2012-03-17,2012-04-04,0.30081,0.31049,0.32683,0.29388,0.35319
tonzi,GR,0001,rising,gcc_75,2013-02-25,2013-03-09,2013-03-21,2013-02-19,2013-03-03,2013-03-12,2013-02-28,2013-03-12,2013-03-24,0.30534,0.31678,0.33529,0.29956,0.35706
tonzi,GR,0001,rising,gcc_75,2014-03-09,2014-03-18,2014-04-02,2014-03-03,2014-03-12,2014-03-27,2014-03-12,2014-03-21,2014-04-05,0.30706,0.3196,0.34438,0.29696,0.37899
tonzi,GR,0001,rising,gcc_75,2015-01-20,2015-02-07,2015-03-03,2014-11-16,2015-02-01,2015-02-22,2015-01-23,2015-02-10,2015-03-06,0.30542,0.31559,0.33761,0.29871,0.36526
tonzi,GR,0001,rising,gcc_50,2012-02-28,2012-03-11,2012-04-01,2012-02-19,2012-03-05,2012-03-23,2012-03-02,2012-03-14,2012-04-04,0.29438,0.30337,0.32291,0.28632,0.34916
tonzi,GR,0001,rising,gcc_50,2013-02-25,2013-03-09,2013-03-21,2013-02-19,2013-03-03,2013-03-12,2013-02-28,2013-03-12,2013-03-24,0.30055,0.31266,0.33118,0.29462,0.35291
tonzi,GR,0001,rising,gcc_50,2014-03-06,2014-03-15,2014-04-02,2014-03-03,2014-03-12,2014-03-24,2014-03-09,2014-03-18,2014-04-05,0.29915,0.31109,0.33959,0.29084,0.37162
tonzi,GR,0001,rising,gcc_50,2015-01-29,2015-02-10,2015-02-28,2014-11-16,2015-02-04,2015-02-19,2015-02-01,2015-02-13,2015-03-03,0.30182,0.31288,0.33094,0.29387,0.36087
tonzi,GR,0001,rising,gcc_mean,2012-02-28,2012-03-11,2012-03-29,2012-02-22,2012-03-05,2012-03-20,2012-03-05,2012-03-14,2012-04-01,0.2892,0.29838,0.31638,0.28278,0.34274
tonzi,GR,0001,rising,gcc_mean,2013-02-25,2013-03-06,2013-03-21,2013-02-16,2013-02-28,2013-03-12,2013-02-28,2013-03-09,2013-03-24,0.29437,0.30265,0.32522,0.2876,0.34576
tonzi,GR,0001,rising,gcc_mean,2014-03-09,2014-03-18,2014-04-02,2014-03-03,2014-03-12,2014-03-27,2014-03-12,2014-03-21,2014-04-05,0.29716,0.30912,0.33279,0.2872,0.36649
