#
# Transition date estimate for torgnon-ld
#
# Site: torgnon-ld
# Veg Type: DN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:20
# Spline RMSE gcc_mean: 0.06658
# Spline RMSE gcc_50: 0.07289
# Spline RMSE gcc_75: 0.06012
# Spline RMSE gcc_90: 0.05528
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
torgnon-ld,DN,0001,rising,gcc_90,2012-05-19,2012-05-25,2012-06-03,2012-05-16,2012-05-22,2012-05-28,2012-05-22,2012-05-28,2012-06-06,0.3428,0.35761,0.38936,0.33116,0.41945
torgnon-ld,DN,0001,rising,gcc_90,2013-06-04,2013-06-07,2013-06-16,2013-06-01,2013-06-04,2013-06-10,2013-06-07,2013-06-10,2013-06-19,0.34558,0.35369,0.3887,0.33098,0.42131
torgnon-ld,DN,0001,rising,gcc_90,2014-05-23,2014-05-29,2014-06-07,2014-05-17,2014-05-23,2014-06-01,2014-05-26,2014-06-01,2014-06-10,0.34411,0.36047,0.38698,0.33091,0.41631
torgnon-ld,DN,0001,rising,gcc_90,2015-05-14,2015-05-17,2015-05-29,2015-05-11,2015-05-14,2015-05-23,2015-05-17,2015-05-20,2015-06-01,0.34908,0.35648,0.3851,0.33762,0.40987
torgnon-ld,DN,0001,rising,gcc_75,2012-05-19,2012-05-25,2012-06-03,2012-05-16,2012-05-22,2012-05-28,2012-05-22,2012-05-28,2012-06-06,0.34153,0.35567,0.3864,0.33066,0.41746
torgnon-ld,DN,0001,rising,gcc_75,2013-06-04,2013-06-10,2013-06-16,2013-06-01,2013-06-04,2013-06-10,2013-06-07,2013-06-13,2013-06-19,0.3442,0.36356,0.38696,0.33052,0.42035
torgnon-ld,DN,0001,rising,gcc_75,2014-05-23,2014-05-29,2014-06-07,2014-05-17,2014-05-26,2014-06-01,2014-05-26,2014-06-01,2014-06-10,0.34243,0.35816,0.38416,0.33056,0.41354
torgnon-ld,DN,0001,rising,gcc_75,2015-05-14,2015-05-17,2015-05-29,2015-05-11,2015-05-14,2015-05-23,2015-05-17,2015-05-20,2015-06-01,0.34813,0.35528,0.38329,0.33699,0.40813
torgnon-ld,DN,0001,rising,gcc_50,2012-05-19,2012-05-25,2012-06-06,2012-05-16,2012-05-22,2012-05-28,2012-05-22,2012-05-28,2012-06-09,0.34133,0.35403,0.39085,0.3299,0.41462
torgnon-ld,DN,0001,rising,gcc_50,2013-06-04,2013-06-07,2013-06-19,2013-05-29,2013-06-04,2013-06-10,2013-06-07,2013-06-10,2013-06-22,0.34523,0.35256,0.39131,0.32986,0.41861
torgnon-ld,DN,0001,rising,gcc_50,2014-05-20,2014-05-29,2014-06-07,2014-05-17,2014-05-23,2014-06-01,2014-05-23,2014-06-01,2014-06-10,0.33831,0.35681,0.38028,0.32997,0.40856
torgnon-ld,DN,0001,rising,gcc_50,2015-05-14,2015-05-20,2015-05-29,2015-05-08,2015-05-14,2015-05-23,2015-05-17,2015-05-23,2015-06-01,0.34647,0.35919,0.37872,0.33636,0.40429
torgnon-ld,DN,0001,rising,gcc_mean,2012-05-19,2012-05-25,2012-06-06,2012-05-13,2012-05-22,2012-05-28,2012-05-22,2012-05-28,2012-06-09,0.34256,0.35493,0.38932,0.32948,0.41426
