#
# Transition date estimate for torgnon-nd
#
# Site: torgnon-nd
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:54
# Spline RMSE gcc_mean: 0.02637
# Spline RMSE gcc_50: 0.02706
# Spline RMSE gcc_75: 0.02506
# Spline RMSE gcc_90: 0.02632
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
torgnon-nd,GR,0001,rising,gcc_90,2013-06-10,2013-06-19,2013-07-04,2013-06-04,2013-06-13,2013-06-25,2013-06-13,2013-06-22,2013-07-07,0.34319,0.35582,0.38179,0.33365,0.40743
torgnon-nd,GR,0001,rising,gcc_90,2014-05-29,2014-06-07,2014-06-19,2014-05-23,2014-06-04,2014-06-13,2014-06-01,2014-06-10,2014-06-22,0.34426,0.35753,0.38409,0.3333,0.41728
torgnon-nd,GR,0001,rising,gcc_90,2015-05-17,2015-05-23,2015-06-04,2015-05-11,2015-05-20,2015-05-26,2015-05-20,2015-05-26,2015-06-07,0.33947,0.34667,0.36143,0.33328,0.3786
torgnon-nd,GR,0001,rising,gcc_75,2013-06-10,2013-06-19,2013-07-04,2013-06-04,2013-06-13,2013-06-25,2013-06-13,2013-06-22,2013-07-07,0.34157,0.35389,0.37948,0.33306,0.40463
torgnon-nd,GR,0001,rising,gcc_75,2014-05-29,2014-06-07,2014-06-19,2014-05-23,2014-06-04,2014-06-13,2014-06-01,2014-06-10,2014-06-22,0.34329,0.35605,0.38174,0.33283,0.41526
torgnon-nd,GR,0001,rising,gcc_75,2015-05-17,2015-05-23,2015-06-04,2015-05-11,2015-05-20,2015-05-29,2015-05-20,2015-05-26,2015-06-07,0.33874,0.3456,0.35992,0.33288,0.37728
torgnon-nd,GR,0001,rising,gcc_50,2013-06-10,2013-06-19,2013-07-04,2013-06-07,2013-06-16,2013-06-28,2013-06-13,2013-06-22,2013-07-07,0.34019,0.35147,0.37659,0.33259,0.40167
torgnon-nd,GR,0001,rising,gcc_50,2014-05-29,2014-06-07,2014-06-19,2014-05-23,2014-06-04,2014-06-13,2014-06-01,2014-06-10,2014-06-22,0.34279,0.35477,0.37875,0.33232,0.41259
torgnon-nd,GR,0001,rising,gcc_50,2015-05-17,2015-05-23,2015-06-04,2015-05-11,2015-05-17,2015-05-26,2015-05-20,2015-05-26,2015-06-07,0.33822,0.34497,0.35852,0.33215,0.37474
torgnon-nd,GR,0001,rising,gcc_mean,2013-06-10,2013-06-19,2013-07-04,2013-06-07,2013-06-16,2013-06-28,2013-06-13,2013-06-22,2013-07-07,0.34051,0.35185,0.37697,0.33273,0.4018
torgnon-nd,GR,0001,rising,gcc_mean,2014-05-29,2014-06-07,2014-06-19,2014-05-23,2014-06-04,2014-06-13,2014-06-01,2014-06-10,2014-06-22,0.34266,0.35453,0.37834,0.33223,0.41174
torgnon-nd,GR,0001,rising,gcc_mean,2015-05-17,2015-05-23,2015-06-04,2015-05-11,2015-05-17,2015-05-26,2015-05-20,2015-05-26,2015-06-07,0.33805,0.34478,0.35831,0.33214,0.37448
torgnon-nd,GR,0001,falling,gcc_90,2015-09-20,2015-09-02,2015-07-28,2015-09-29,2015-09-05,2015-08-06,2015-09-14,2015-08-24,2015-07-25,0.33985,0.34704,0.35892,0.33492,0.3786
torgnon-nd,GR,0001,falling,gcc_90,2014-09-20,2014-08-27,2014-08-15,2014-09-29,2014-09-02,2014-08-21,2014-09-11,2014-08-24,2014-08-12,0.34168,0.35901,0.38177,0.33328,0.41728
torgnon-nd,GR,0001,falling,gcc_90,2013-09-26,2013-09-08,2013-08-24,2013-10-02,2013-09-14,2013-08-30,2013-09-20,2013-09-05,2013-08-21,0.34078,0.35404,0.37588,0.3333,0.40743
torgnon-nd,GR,0001,falling,gcc_75,2015-09-23,2015-09-05,2015-07-28,2015-09-29,2015-09-11,2015-08-06,2015-09-17,2015-08-30,2015-07-25,0.33822,0.34517,0.35758,0.33388,0.37728
torgnon-nd,GR,0001,falling,gcc_75,2014-09-17,2014-08-27,2014-08-15,2014-09-26,2014-09-02,2014-08-21,2014-09-11,2014-08-24,2014-08-12,0.3419,0.35797,0.38058,0.33288,0.41526
torgnon-nd,GR,0001,falling,gcc_75,2013-09-23,2013-09-08,2013-08-24,2013-09-29,2013-09-14,2013-08-30,2013-09-20,2013-09-05,2013-08-21,0.34091,0.35276,0.37434,0.33283,0.40463
torgnon-nd,GR,0001,falling,gcc_50,2015-09-23,2015-09-05,2015-07-28,2015-10-02,2015-09-14,2015-08-09,2015-09-14,2015-08-30,2015-07-25,0.33734,0.34384,0.35637,0.3331,0.37474
torgnon-nd,GR,0001,falling,gcc_50,2014-09-17,2014-08-30,2014-08-15,2014-09-26,2014-09-02,2014-08-21,2014-09-11,2014-08-27,2014-08-12,0.34032,0.3524,0.37929,0.33215,0.41259
torgnon-nd,GR,0001,falling,gcc_50,2013-09-23,2013-09-08,2013-08-24,2013-09-29,2013-09-14,2013-08-30,2013-09-20,2013-09-05,2013-08-21,0.33972,0.3519,0.37306,0.33232,0.40167
torgnon-nd,GR,0001,falling,gcc_mean,2015-09-20,2015-09-05,2015-07-28,2015-09-29,2015-09-11,2015-08-06,2015-09-14,2015-08-30,2015-07-25,0.33822,0.34368,0.35629,0.33329,0.37448
torgnon-nd,GR,0001,falling,gcc_mean,2014-09-14,2014-08-27,2014-08-15,2014-09-17,2014-09-02,2014-08-21,2014-09-02,2014-08-24,2014-08-12,0.34092,0.35665,0.37846,0.33214,0.41174
torgnon-nd,GR,0001,falling,gcc_mean,2013-09-23,2013-09-08,2013-08-24,2013-09-29,2013-09-14,2013-08-30,2013-09-20,2013-09-05,2013-08-21,0.33953,0.35137,0.37246,0.33223,0.4018
