#
# Transition date estimate for turkeypointdbf
#
# Site: turkeypointdbf
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:20
# Spline RMSE gcc_mean: 0.02849
# Spline RMSE gcc_50: 0.02921
# Spline RMSE gcc_75: 0.02931
# Spline RMSE gcc_90: 0.03068
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointdbf,DB,0001,rising,gcc_90,2012-05-04,2012-05-07,2012-05-16,2012-05-01,2012-05-04,2012-05-10,2012-05-07,2012-05-10,2012-05-19,0.33703,0.34712,0.38638,0.32419,0.40764
turkeypointdbf,DB,0001,rising,gcc_90,2013-05-08,2013-05-11,2013-05-20,2013-05-02,2013-05-08,2013-05-14,2013-05-11,2013-05-14,2013-05-23,0.33979,0.35009,0.3929,0.32295,0.40974
turkeypointdbf,DB,0001,rising,gcc_90,2014-05-20,2014-05-23,2014-05-29,2014-05-14,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-01,0.33716,0.35014,0.38641,0.32409,0.40534
turkeypointdbf,DB,0001,rising,gcc_90,2015-05-08,2015-05-11,2015-05-20,2015-05-05,2015-05-08,2015-05-11,2015-05-11,2015-05-14,2015-05-23,0.33487,0.34917,0.39429,0.32484,0.40534
turkeypointdbf,DB,0001,rising,gcc_75,2012-05-04,2012-05-07,2012-05-16,2012-05-01,2012-05-04,2012-05-10,2012-05-07,2012-05-10,2012-05-19,0.3365,0.34647,0.38465,0.32366,0.40368
turkeypointdbf,DB,0001,rising,gcc_75,2013-05-05,2013-05-11,2013-05-20,2013-05-02,2013-05-08,2013-05-14,2013-05-08,2013-05-14,2013-05-23,0.33072,0.34865,0.39096,0.32212,0.40615
turkeypointdbf,DB,0001,rising,gcc_75,2014-05-20,2014-05-23,2014-05-29,2014-05-14,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-01,0.33635,0.34924,0.38453,0.32337,0.40211
turkeypointdbf,DB,0001,rising,gcc_75,2015-05-08,2015-05-11,2015-05-20,2015-05-05,2015-05-08,2015-05-11,2015-05-11,2015-05-14,2015-05-23,0.33396,0.34799,0.39119,0.32429,0.40092
turkeypointdbf,DB,0001,rising,gcc_50,2012-05-04,2012-05-07,2012-05-16,2012-05-01,2012-05-04,2012-05-10,2012-05-07,2012-05-10,2012-05-19,0.33583,0.34558,0.38173,0.32314,0.39818
turkeypointdbf,DB,0001,rising,gcc_50,2013-05-05,2013-05-11,2013-05-20,2013-05-02,2013-05-08,2013-05-14,2013-05-08,2013-05-14,2013-05-23,0.32985,0.34726,0.3881,0.32118,0.40076
turkeypointdbf,DB,0001,rising,gcc_50,2014-05-17,2014-05-23,2014-05-29,2014-05-14,2014-05-20,2014-05-23,2014-05-20,2014-05-26,2014-06-01,0.33045,0.3482,0.38131,0.32248,0.39691
turkeypointdbf,DB,0001,rising,gcc_50,2015-05-08,2015-05-11,2015-05-17,2015-05-05,2015-05-08,2015-05-11,2015-05-11,2015-05-14,2015-05-20,0.33296,0.34674,0.37483,0.32358,0.39147
turkeypointdbf,DB,0001,rising,gcc_mean,2012-05-04,2012-05-07,2012-05-16,2012-05-01,2012-05-04,2012-05-10,2012-05-07,2012-05-10,2012-05-19,0.33555,0.34516,0.38052,0.32288,0.39674
turkeypointdbf,DB,0001,rising,gcc_mean,2013-05-05,2013-05-11,2013-05-20,2013-05-02,2013-05-08,2013-05-11,2013-05-08,2013-05-14,2013-05-23,0.32988,0.3474,0.38671,0.32077,0.39887
turkeypointdbf,DB,0001,rising,gcc_mean,2014-05-17,2014-05-23,2014-05-29,2014-05-14,2014-05-20,2014-05-23,2014-05-20,2014-05-26,2014-06-01,0.33013,0.34761,0.37982,0.32202,0.39464
turkeypointdbf,DB,0001,rising,gcc_mean,2015-05-08,2015-05-11,2015-05-17,2015-05-05,2015-05-08,2015-05-11,2015-05-11,2015-05-14,2015-05-20,0.33243,0.34583,0.37318,0.32327,0.38935
turkeypointdbf,DB,0001,falling,gcc_90,2015-10-17,2015-10-11,2015-09-29,2015-10-20,2015-10-14,2015-10-05,2015-10-14,2015-10-08,2015-09-26,0.33448,0.34621,0.37019,0.32184,0.40534
turkeypointdbf,DB,0001,falling,gcc_90,2014-10-17,2014-10-11,2014-10-02,2014-10-20,2014-10-14,2014-10-08,2014-10-14,2014-10-08,2014-09-29,0.33401,0.35443,0.37118,0.32484,0.40534
turkeypointdbf,DB,0001,falling,gcc_90,2013-10-17,2013-10-11,2013-09-29,2013-10-23,2013-10-17,2013-10-08,2013-10-14,2013-10-08,2013-09-26,0.33769,0.35347,0.3724,0.32409,0.40974
turkeypointdbf,DB,0001,falling,gcc_90,2012-10-13,2012-10-10,2012-09-25,2012-10-16,2012-10-13,2012-10-04,2012-10-10,2012-10-07,2012-09-22,0.33227,0.34577,0.3729,0.32295,0.40764
turkeypointdbf,DB,0001,falling,gcc_75,2015-10-17,2015-10-11,2015-09-29,2015-10-20,2015-10-17,2015-10-05,2015-10-14,2015-10-08,2015-09-26,0.33331,0.34515,0.36777,0.32105,0.40092
turkeypointdbf,DB,0001,falling,gcc_75,2014-10-17,2014-10-11,2014-10-02,2014-10-20,2014-10-14,2014-10-08,2014-10-14,2014-10-08,2014-09-29,0.33263,0.3526,0.36902,0.32429,0.40211
turkeypointdbf,DB,0001,falling,gcc_75,2013-10-17,2013-10-11,2013-09-29,2013-10-23,2013-10-17,2013-10-08,2013-10-14,2013-10-08,2013-09-26,0.33639,0.35174,0.37,0.32337,0.40615
turkeypointdbf,DB,0001,falling,gcc_75,2012-10-13,2012-10-10,2012-09-28,2012-10-16,2012-10-13,2012-10-04,2012-10-10,2012-10-07,2012-09-25,0.3308,0.34448,0.36743,0.32212,0.40368
turkeypointdbf,DB,0001,falling,gcc_50,2015-10-17,2015-10-14,2015-09-29,2015-10-20,2015-10-17,2015-10-08,2015-10-14,2015-10-11,2015-09-26,0.33166,0.33796,0.36445,0.31993,0.39147
