#
# Transition date estimate for turkeypointenf02
#
# Site: turkeypointenf02
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:20
# Spline RMSE gcc_mean: 0.03325
# Spline RMSE gcc_50: 0.03499
# Spline RMSE gcc_75: 0.03562
# Spline RMSE gcc_90: 0.03735
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf02,AG,0001,rising,gcc_90,2012-05-16,2012-05-19,2012-05-28,2012-05-13,2012-05-16,2012-05-25,2012-05-19,2012-05-22,2012-05-31,0.3218,0.32908,0.34741,0.31097,0.36473
turkeypointenf02,AG,0001,rising,gcc_90,2014-05-17,2014-05-29,2014-06-13,2014-05-08,2014-05-23,2014-06-04,2014-05-20,2014-06-01,2014-06-16,0.32232,0.32842,0.34451,0.31726,0.3577
turkeypointenf02,AG,0001,rising,gcc_90,2015-06-04,2015-06-10,2015-06-22,2015-06-01,2015-06-07,2015-06-16,2015-06-07,2015-06-13,2015-06-25,0.31754,0.32567,0.34534,0.3123,0.36182
turkeypointenf02,AG,0001,rising,gcc_75,2012-05-16,2012-05-19,2012-05-28,2012-05-13,2012-05-16,2012-05-25,2012-05-19,2012-05-22,2012-05-31,0.32095,0.32814,0.34611,0.31029,0.36306
turkeypointenf02,AG,0001,rising,gcc_75,2014-05-11,2014-05-26,2014-06-13,2014-05-02,2014-05-23,2014-06-04,2014-05-14,2014-05-29,2014-06-16,0.31977,0.32548,0.34335,0.31523,0.35613
turkeypointenf02,AG,0001,rising,gcc_75,2015-06-04,2015-06-10,2015-06-22,2015-05-29,2015-06-07,2015-06-13,2015-06-07,2015-06-13,2015-06-25,0.31705,0.32496,0.34427,0.31085,0.36
turkeypointenf02,AG,0001,rising,gcc_50,2012-05-16,2012-05-19,2012-05-28,2012-05-13,2012-05-16,2012-05-25,2012-05-19,2012-05-22,2012-05-31,0.32019,0.32731,0.34499,0.30904,0.36017
turkeypointenf02,AG,0001,rising,gcc_50,2014-05-05,2014-05-26,2014-06-10,2014-04-26,2014-05-20,2014-06-04,2014-05-11,2014-05-29,2014-06-13,0.31718,0.32425,0.33771,0.31295,0.35368
turkeypointenf02,AG,0001,rising,gcc_50,2015-06-04,2015-06-10,2015-06-22,2015-05-26,2015-06-07,2015-06-13,2015-06-07,2015-06-13,2015-06-25,0.31614,0.32354,0.34197,0.30976,0.3573
turkeypointenf02,AG,0001,rising,gcc_mean,2012-05-16,2012-05-19,2012-05-28,2012-05-13,2012-05-16,2012-05-25,2012-05-19,2012-05-22,2012-05-31,0.31986,0.32691,0.34443,0.30898,0.35832
turkeypointenf02,AG,0001,rising,gcc_mean,2014-05-08,2014-05-26,2014-06-10,2014-04-29,2014-05-20,2014-06-04,2014-05-14,2014-05-29,2014-06-13,0.31752,0.32396,0.33728,0.31349,0.35269
turkeypointenf02,AG,0001,rising,gcc_mean,2015-06-04,2015-06-10,2015-06-22,2015-05-26,2015-06-07,2015-06-13,2015-06-07,2015-06-13,2015-06-25,0.3159,0.32306,0.34053,0.30964,0.35485
turkeypointenf02,AG,0001,falling,gcc_90,2015-09-20,2015-09-14,2015-09-05,2015-09-26,2015-09-20,2015-09-14,2015-09-17,2015-09-11,2015-09-02,0.31934,0.32885,0.34554,0.31121,0.36182
turkeypointenf02,AG,0001,falling,gcc_90,2014-09-29,2014-09-20,2014-09-05,2014-10-05,2014-09-26,2014-09-11,2014-09-26,2014-09-17,2014-09-02,0.31809,0.32599,0.33712,0.3123,0.3577
turkeypointenf02,AG,0001,falling,gcc_90,2013-10-02,2013-09-26,2013-09-14,2013-10-08,2013-09-29,2013-09-20,2013-09-29,2013-09-23,2013-09-11,0.32304,0.33127,0.34793,0.31726,0.36473
turkeypointenf02,AG,0001,falling,gcc_90,2012-10-01,2012-09-25,2012-09-13,2012-10-07,2012-09-28,2012-09-19,2012-09-28,2012-09-22,2012-09-10,0.31559,0.32258,0.34029,0.30871,0.35888
turkeypointenf02,AG,0001,falling,gcc_75,2015-09-23,2015-09-17,2015-09-05,2015-09-26,2015-09-20,2015-09-14,2015-09-20,2015-09-14,2015-09-02,0.31543,0.32263,0.34436,0.30961,0.36
turkeypointenf02,AG,0001,falling,gcc_75,2014-09-29,2014-09-23,2014-09-05,2014-10-05,2014-09-26,2014-09-14,2014-09-26,2014-09-20,2014-09-02,0.31726,0.32285,0.33652,0.31085,0.35613
turkeypointenf02,AG,0001,falling,gcc_75,2013-10-02,2013-09-26,2013-09-14,2013-10-08,2013-10-02,2013-09-23,2013-09-29,2013-09-23,2013-09-11,0.32228,0.33029,0.34647,0.31523,0.36306
turkeypointenf02,AG,0001,falling,gcc_75,2012-10-01,2012-09-25,2012-09-13,2012-10-07,2012-09-28,2012-09-19,2012-09-28,2012-09-22,2012-09-10,0.3147,0.32192,0.33957,0.308,0.35666
turkeypointenf02,AG,0001,falling,gcc_50,2015-09-23,2015-09-17,2015-09-05,2015-09-26,2015-09-20,2015-09-14,2015-09-20,2015-09-14,2015-09-02,0.31463,0.32156,0.34239,0.30892,0.3573
turkeypointenf02,AG,0001,falling,gcc_50,2014-10-02,2014-09-23,2014-09-08,2014-10-05,2014-09-26,2014-09-14,2014-09-29,2014-09-20,2014-09-05,0.31433,0.32207,0.3339,0.30976,0.35368
turkeypointenf02,AG,0001,falling,gcc_50,2013-10-05,2013-09-29,2013-09-14,2013-10-17,2013-10-02,2013-09-23,2013-10-02,2013-09-26,2013-09-11,0.31882,0.32496,0.34446,0.31295,0.36017
turkeypointenf02,AG,0001,falling,gcc_50,2012-10-01,2012-09-25,2012-09-13,2012-10-07,2012-10-01,2012-09-22,2012-09-28,2012-09-22,2012-09-10,0.314,0.32127,0.33867,0.30698,0.35399
turkeypointenf02,AG,0001,falling,gcc_mean,2015-09-23,2015-09-17,2015-09-05,2015-09-26,2015-09-20,2015-09-14,2015-09-20,2015-09-14,2015-09-02,0.31428,0.32103,0.34083,0.30916,0.35485
turkeypointenf02,AG,0001,falling,gcc_mean,2014-09-29,2014-09-23,2014-09-08,2014-10-05,2014-09-26,2014-09-14,2014-09-26,2014-09-20,2014-09-05,0.31608,0.32155,0.33349,0.30964,0.35269
turkeypointenf02,AG,0001,falling,gcc_mean,2013-10-05,2013-09-26,2013-09-17,2013-10-11,2013-10-02,2013-09-23,2013-10-02,2013-09-23,2013-09-14,0.31817,0.32863,0.33997,0.31349,0.35832
turkeypointenf02,AG,0001,falling,gcc_mean,2012-10-01,2012-09-25,2012-09-13,2012-10-07,2012-10-01,2012-09-22,2012-09-28,2012-09-22,2012-09-10,0.31387,0.32096,0.33801,0.30666,0.35387
