#
# Transition date estimate for turkeypointenf39
#
# Site: turkeypointenf39
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:20
# Spline RMSE gcc_mean: 0.04501
# Spline RMSE gcc_50: 0.04591
# Spline RMSE gcc_75: 0.04591
# Spline RMSE gcc_90: 0.04602
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf39,EN,0001,rising,gcc_90,2012-03-11,2012-03-14,2012-03-26,2012-03-05,2012-03-11,2012-03-17,2012-03-14,2012-03-17,2012-03-29,0.34048,0.3442,0.35561,0.3348,0.3704
turkeypointenf39,EN,0001,rising,gcc_90,2013-04-02,2013-04-08,2013-04-26,2013-03-27,2013-04-05,2013-04-17,2013-04-05,2013-04-11,2013-04-29,0.32854,0.33489,0.3509,0.32173,0.37095
turkeypointenf39,EN,0001,rising,gcc_90,2014-04-02,2014-04-08,2014-04-26,2014-03-27,2014-04-05,2014-04-17,2014-04-05,2014-04-11,2014-04-29,0.33117,0.33619,0.35097,0.32426,0.3715
turkeypointenf39,EN,0001,rising,gcc_90,2015-04-05,2015-04-11,2015-04-26,2015-03-30,2015-04-08,2015-04-17,2015-04-08,2015-04-14,2015-04-29,0.32718,0.33216,0.344,0.32326,0.35728
turkeypointenf39,EN,0001,rising,gcc_75,2012-03-11,2012-03-14,2012-03-26,2012-03-05,2012-03-11,2012-03-17,2012-03-14,2012-03-17,2012-03-29,0.33961,0.34321,0.35415,0.33389,0.36872
turkeypointenf39,EN,0001,rising,gcc_75,2013-04-02,2013-04-08,2013-04-23,2013-03-27,2013-04-05,2013-04-17,2013-04-05,2013-04-11,2013-04-26,0.3271,0.33353,0.34734,0.31988,0.36875
turkeypointenf39,EN,0001,rising,gcc_75,2014-03-30,2014-04-08,2014-04-23,2014-03-24,2014-04-02,2014-04-14,2014-04-02,2014-04-11,2014-04-26,0.32766,0.33605,0.34853,0.32247,0.36895
turkeypointenf39,EN,0001,rising,gcc_75,2015-04-05,2015-04-11,2015-04-23,2015-03-30,2015-04-08,2015-04-17,2015-04-08,2015-04-14,2015-04-26,0.32591,0.3309,0.34044,0.32208,0.35398
turkeypointenf39,EN,0001,rising,gcc_50,2012-03-11,2012-03-14,2012-03-23,2012-03-05,2012-03-11,2012-03-17,2012-03-14,2012-03-17,2012-03-26,0.33828,0.34193,0.35172,0.33238,0.36497
turkeypointenf39,EN,0001,rising,gcc_50,2013-03-30,2013-04-08,2013-04-23,2013-03-24,2013-04-02,2013-04-14,2013-04-02,2013-04-11,2013-04-26,0.32283,0.33174,0.34556,0.31768,0.365
