#
# Transition date estimate for uiefmaize
#
# Site: uiefmaize
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:56
# Spline RMSE gcc_mean: 0.03073
# Spline RMSE gcc_50: 0.04431
# Spline RMSE gcc_75: 0.04443
# Spline RMSE gcc_90: 0.0443
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmaize,AG,0001,rising,gcc_90,2009-06-04,2009-06-13,2009-06-22,2009-06-01,2009-06-07,2009-06-16,2009-06-07,2009-06-16,2009-06-25,0.34962,0.37474,0.4144,0.33667,0.45234
uiefmaize,AG,0001,rising,gcc_90,2010-06-04,2010-06-10,2010-06-19,2010-05-26,2010-06-07,2010-06-13,2010-06-07,2010-06-13,2010-06-22,0.34771,0.36027,0.38387,0.33766,0.41134
uiefmaize,AG,0001,rising,gcc_90,2011-06-01,2011-06-07,2011-06-19,2011-05-29,2011-06-04,2011-06-13,2011-06-04,2011-06-10,2011-06-22,0.35088,0.37199,0.41734,0.33698,0.47401
uiefmaize,AG,0001,rising,gcc_90,2013-06-04,2013-06-07,2013-06-19,2013-06-01,2013-06-04,2013-06-16,2013-06-07,2013-06-10,2013-06-22,0.34627,0.35255,0.37601,0.33601,0.40185
uiefmaize,AG,0001,rising,gcc_75,2009-06-04,2009-06-13,2009-06-22,2009-06-01,2009-06-07,2009-06-16,2009-06-07,2009-06-16,2009-06-25,0.34682,0.37195,0.40832,0.33472,0.44223
uiefmaize,AG,0001,rising,gcc_75,2010-06-04,2010-06-10,2010-06-19,2010-05-26,2010-06-07,2010-06-13,2010-06-07,2010-06-13,2010-06-22,0.34477,0.3569,0.38027,0.33507,0.40641
uiefmaize,AG,0001,rising,gcc_75,2011-06-01,2011-06-07,2011-06-22,2011-05-29,2011-06-04,2011-06-13,2011-06-04,2011-06-10,2011-06-25,0.34866,0.36925,0.42138,0.33533,0.46822
uiefmaize,AG,0001,rising,gcc_75,2013-06-04,2013-06-07,2013-06-19,2013-06-01,2013-06-04,2013-06-16,2013-06-07,2013-06-10,2013-06-22,0.34475,0.35078,0.37258,0.33411,0.39662
uiefmaize,AG,0001,rising,gcc_50,2009-06-04,2009-06-13,2009-06-22,2009-06-01,2009-06-07,2009-06-16,2009-06-07,2009-06-16,2009-06-25,0.34329,0.36696,0.39976,0.33244,0.43121
uiefmaize,AG,0001,rising,gcc_50,2010-06-04,2010-06-10,2010-06-19,2010-05-29,2010-06-07,2010-06-13,2010-06-07,2010-06-13,2010-06-22,0.34094,0.35238,0.37464,0.33262,0.39621
uiefmaize,AG,0001,rising,gcc_50,2011-06-01,2011-06-07,2011-06-22,2011-05-29,2011-06-04,2011-06-13,2011-06-04,2011-06-10,2011-06-25,0.34606,0.36567,0.41521,0.33323,0.45933
uiefmaize,AG,0001,rising,gcc_50,2013-06-04,2013-06-07,2013-06-19,2013-06-01,2013-06-04,2013-06-16,2013-06-07,2013-06-10,2013-06-22,0.34142,0.34672,0.36538,0.33184,0.38791
uiefmaize,AG,0001,rising,gcc_mean,2009-06-07,2009-06-13,2009-06-22,2009-06-01,2009-06-10,2009-06-16,2009-06-10,2009-06-16,2009-06-25,0.34709,0.36495,0.39936,0.33245,0.43017
uiefmaize,AG,0001,rising,gcc_mean,2010-06-04,2010-06-10,2010-06-19,2010-05-29,2010-06-07,2010-06-13,2010-06-07,2010-06-13,2010-06-22,0.33913,0.35011,0.37312,0.33251,0.39391
uiefmaize,AG,0001,rising,gcc_mean,2011-06-04,2011-06-07,2011-06-19,2011-05-29,2011-06-04,2011-06-13,2011-06-07,2011-06-10,2011-06-22,0.35356,0.36499,0.40398,0.33316,0.4541
uiefmaize,AG,0001,rising,gcc_mean,2013-06-04,2013-06-07,2013-06-19,2013-06-01,2013-06-04,2013-06-16,2013-06-07,2013-06-10,2013-06-22,0.34053,0.34577,0.36479,0.33172,0.38308
uiefmaize,AG,0001,falling,gcc_90,2015-10-11,2015-09-29,2015-09-14,2015-10-17,2015-10-05,2015-09-20,2015-10-08,2015-09-26,2015-09-11,0.34354,0.35369,0.37367,0.33544,0.4018
uiefmaize,AG,0001,falling,gcc_90,2014-10-02,2014-09-23,2014-09-11,2014-10-11,2014-09-29,2014-09-17,2014-09-29,2014-09-20,2014-09-08,0.34045,0.3492,0.3636,0.33441,0.38468
uiefmaize,AG,0001,falling,gcc_90,2013-09-17,2013-09-14,2013-09-08,2013-09-23,2013-09-20,2013-09-14,2013-09-14,2013-09-11,2013-09-05,0.3468,0.35597,0.37191,0.33476,0.38944
uiefmaize,AG,0001,falling,gcc_90,2011-09-23,2011-09-08,2011-08-24,2011-09-29,2011-09-14,2011-09-02,2011-09-20,2011-09-05,2011-08-21,0.35135,0.37668,0.42141,0.33631,0.47401
uiefmaize,AG,0001,falling,gcc_90,2010-09-23,2010-09-20,2010-09-11,2010-09-29,2010-09-23,2010-09-17,2010-09-20,2010-09-17,2010-09-08,0.34971,0.35627,0.3884,0.33698,0.41134
