#
# Transition date estimate for uiefmiscanthus
#
# Site: uiefmiscanthus
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:57
# Spline RMSE gcc_mean: 0.03439
# Spline RMSE gcc_50: 0.04425
# Spline RMSE gcc_75: 0.046
# Spline RMSE gcc_90: 0.04881
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmiscanthus,AG,0001,rising,gcc_90,2009-05-08,2009-05-23,2009-06-07,2009-05-02,2009-05-17,2009-06-01,2009-05-11,2009-05-26,2009-06-10,0.34902,0.37044,0.40946,0.3351,0.46008
uiefmiscanthus,AG,0001,rising,gcc_90,2010-06-07,2010-06-19,2010-07-04,2010-06-01,2010-06-13,2010-06-25,2010-06-10,2010-06-22,2010-07-07,0.34438,0.35941,0.38987,0.33548,0.42098
uiefmiscanthus,AG,0001,rising,gcc_90,2011-05-05,2011-05-11,2011-05-26,2011-04-29,2011-05-08,2011-05-17,2011-05-08,2011-05-14,2011-05-29,0.34676,0.35718,0.39249,0.33473,0.42412
uiefmiscanthus,AG,0001,rising,gcc_90,2012-04-25,2012-05-01,2012-05-13,2012-04-22,2012-04-28,2012-05-07,2012-04-28,2012-05-04,2012-05-16,0.34501,0.35858,0.38897,0.33461,0.41711
uiefmiscanthus,AG,0001,rising,gcc_90,2013-05-14,2013-05-20,2013-06-01,2013-05-08,2013-05-17,2013-05-23,2013-05-17,2013-05-23,2013-06-04,0.3457,0.35977,0.39039,0.33368,0.41831
uiefmiscanthus,AG,0001,rising,gcc_90,2014-05-17,2014-05-26,2014-06-07,2014-05-11,2014-05-20,2014-05-29,2014-05-20,2014-05-29,2014-06-10,0.34269,0.35807,0.38582,0.33398,0.41002
uiefmiscanthus,AG,0001,rising,gcc_90,2015-05-05,2015-05-14,2015-05-23,2015-04-29,2015-05-08,2015-05-17,2015-05-08,2015-05-17,2015-05-26,0.34388,0.35694,0.37782,0.33492,0.40459
uiefmiscanthus,AG,0001,rising,gcc_75,2009-05-11,2009-05-23,2009-06-07,2009-05-05,2009-05-20,2009-06-01,2009-05-14,2009-05-26,2009-06-10,0.34833,0.36684,0.40592,0.33413,0.45373
uiefmiscanthus,AG,0001,rising,gcc_75,2010-06-10,2010-06-19,2010-07-04,2010-06-04,2010-06-13,2010-06-25,2010-06-13,2010-06-22,2010-07-07,0.34526,0.35717,0.38748,0.33432,0.417
uiefmiscanthus,AG,0001,rising,gcc_75,2011-05-05,2011-05-14,2011-05-23,2011-04-29,2011-05-08,2011-05-17,2011-05-08,2011-05-17,2011-05-26,0.34475,0.36062,0.38265,0.33349,0.41753
uiefmiscanthus,AG,0001,rising,gcc_75,2012-04-25,2012-05-01,2012-05-13,2012-04-22,2012-04-28,2012-05-07,2012-04-28,2012-05-04,2012-05-16,0.34251,0.35499,0.38462,0.33316,0.41317
uiefmiscanthus,AG,0001,rising,gcc_75,2013-05-14,2013-05-20,2013-05-29,2013-05-08,2013-05-17,2013-05-23,2013-05-17,2013-05-23,2013-06-01,0.34355,0.35705,0.37872,0.33236,0.41096
uiefmiscanthus,AG,0001,rising,gcc_75,2014-05-17,2014-05-26,2014-06-04,2014-05-11,2014-05-20,2014-05-29,2014-05-20,2014-05-29,2014-06-07,0.34086,0.35602,0.37593,0.33248,0.40367
uiefmiscanthus,AG,0001,rising,gcc_75,2015-05-05,2015-05-11,2015-05-23,2015-04-29,2015-05-08,2015-05-17,2015-05-08,2015-05-14,2015-05-26,0.3422,0.35009,0.37476,0.33321,0.39943
uiefmiscanthus,AG,0001,rising,gcc_50,2009-05-14,2009-05-26,2009-06-07,2009-05-08,2009-05-20,2009-06-01,2009-05-17,2009-05-29,2009-06-10,0.34595,0.36778,0.40213,0.33301,0.44768
uiefmiscanthus,AG,0001,rising,gcc_50,2010-06-10,2010-06-19,2010-07-01,2010-06-04,2010-06-16,2010-06-25,2010-06-13,2010-06-22,2010-07-04,0.34275,0.35414,0.37788,0.33311,0.40999
uiefmiscanthus,AG,0001,rising,gcc_50,2011-05-05,2011-05-11,2011-05-23,2011-04-29,2011-05-08,2011-05-17,2011-05-08,2011-05-14,2011-05-26,0.34203,0.35121,0.37883,0.33212,0.40834
