#
# Transition date estimate for uiefprairie
#
# Site: uiefprairie
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:57
# Spline RMSE gcc_mean: 0.04598
# Spline RMSE gcc_50: 0.05625
# Spline RMSE gcc_75: 0.05895
# Spline RMSE gcc_90: 0.06183
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefprairie,GR,0001,rising,gcc_90,2009-04-14,2009-04-20,2009-05-05,2009-04-08,2009-04-17,2009-04-29,2009-04-17,2009-04-23,2009-05-08,0.35737,0.37182,0.41569,0.34274,0.45599
uiefprairie,GR,0001,rising,gcc_90,2010-04-02,2010-04-08,2010-04-23,2010-03-27,2010-04-05,2010-04-17,2010-04-05,2010-04-11,2010-04-26,0.35534,0.37017,0.41124,0.3384,0.45928
uiefprairie,GR,0001,rising,gcc_90,2011-04-11,2011-04-20,2011-05-05,2011-04-05,2011-04-17,2011-04-29,2011-04-14,2011-04-23,2011-05-08,0.35263,0.36803,0.40843,0.33943,0.45086
uiefprairie,GR,0001,rising,gcc_90,2012-03-14,2012-03-26,2012-04-16,2012-03-11,2012-03-23,2012-04-07,2012-03-17,2012-03-29,2012-04-19,0.34814,0.36524,0.39692,0.33748,0.44295
uiefprairie,GR,0001,rising,gcc_90,2013-04-14,2013-04-23,2013-05-08,2013-04-11,2013-04-20,2013-05-02,2013-04-17,2013-04-26,2013-05-11,0.34813,0.36516,0.40347,0.33716,0.44322
uiefprairie,GR,0001,rising,gcc_90,2014-04-20,2014-04-29,2014-05-11,2014-04-14,2014-04-23,2014-05-05,2014-04-23,2014-05-02,2014-05-14,0.35091,0.37011,0.40182,0.33793,0.44484
uiefprairie,GR,0001,rising,gcc_90,2015-04-08,2015-04-20,2015-05-05,2015-04-05,2015-04-17,2015-04-26,2015-04-11,2015-04-23,2015-05-08,0.34873,0.36666,0.40273,0.33836,0.44138
uiefprairie,GR,0001,rising,gcc_75,2009-04-14,2009-04-20,2009-05-05,2009-04-08,2009-04-17,2009-04-29,2009-04-17,2009-04-23,2009-05-08,0.35477,0.36895,0.41271,0.3403,0.45119
uiefprairie,GR,0001,rising,gcc_75,2010-04-02,2010-04-08,2010-04-23,2010-03-27,2010-04-05,2010-04-17,2010-04-05,2010-04-11,2010-04-26,0.35288,0.36778,0.40838,0.33652,0.45369
uiefprairie,GR,0001,rising,gcc_75,2011-04-11,2011-04-20,2011-05-05,2011-04-05,2011-04-17,2011-04-29,2011-04-14,2011-04-23,2011-05-08,0.35045,0.36564,0.40449,0.3371,0.44543
uiefprairie,GR,0001,rising,gcc_75,2012-03-17,2012-03-26,2012-04-16,2012-03-11,2012-03-23,2012-04-07,2012-03-20,2012-03-29,2012-04-19,0.34911,0.36229,0.39376,0.33508,0.43828
uiefprairie,GR,0001,rising,gcc_75,2013-04-14,2013-04-23,2013-05-08,2013-04-08,2013-04-20,2013-04-29,2013-04-17,2013-04-26,2013-05-11,0.34626,0.36297,0.40057,0.33542,0.43687
uiefprairie,GR,0001,rising,gcc_75,2014-04-20,2014-04-29,2014-05-11,2014-04-14,2014-04-23,2014-05-05,2014-04-23,2014-05-02,2014-05-14,0.34823,0.36691,0.39846,0.33634,0.44024
uiefprairie,GR,0001,rising,gcc_75,2015-04-08,2015-04-20,2015-05-05,2015-04-02,2015-04-14,2015-04-26,2015-04-11,2015-04-23,2015-05-08,0.34658,0.36375,0.39891,0.3355,0.43487
uiefprairie,GR,0001,rising,gcc_50,2009-04-14,2009-04-20,2009-05-05,2009-04-08,2009-04-17,2009-04-26,2009-04-17,2009-04-23,2009-05-08,0.35141,0.36561,0.40912,0.33654,0.44389
uiefprairie,GR,0001,rising,gcc_50,2010-04-02,2010-04-08,2010-04-23,2010-03-27,2010-04-05,2010-04-14,2010-04-05,2010-04-11,2010-04-26,0.34928,0.36409,0.40367,0.33348,0.4453
uiefprairie,GR,0001,rising,gcc_50,2011-04-11,2011-04-20,2011-05-05,2011-04-05,2011-04-17,2011-04-26,2011-04-14,2011-04-23,2011-05-08,0.34765,0.36244,0.39927,0.33459,0.43692
uiefprairie,GR,0001,rising,gcc_50,2012-03-17,2012-03-26,2012-04-16,2012-03-11,2012-03-23,2012-04-07,2012-03-20,2012-03-29,2012-04-19,0.34519,0.35857,0.38905,0.33329,0.43166
uiefprairie,GR,0001,rising,gcc_50,2013-04-14,2013-04-23,2013-05-05,2013-04-08,2013-04-20,2013-04-29,2013-04-17,2013-04-26,2013-05-08,0.34376,0.36001,0.38933,0.33354,0.42778
