#
# Transition date estimate for uiefswitchgrass
#
# Site: uiefswitchgrass
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2009
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:22
# Spline RMSE gcc_mean: 0.05911
# Spline RMSE gcc_50: 0.06913
# Spline RMSE gcc_75: 0.07024
# Spline RMSE gcc_90: 0.07059
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefswitchgrass,AG,0001,rising,gcc_90,2009-04-11,2009-04-20,2009-05-05,2009-04-08,2009-04-17,2009-04-29,2009-04-14,2009-04-23,2009-05-08,0.3539,0.37207,0.40896,0.3426,0.45323
uiefswitchgrass,AG,0001,rising,gcc_90,2010-04-08,2010-04-14,2010-04-23,2010-04-05,2010-04-11,2010-04-14,2010-04-11,2010-04-17,2010-04-26,0.35091,0.36773,0.4006,0.3401,0.42482
uiefswitchgrass,AG,0001,rising,gcc_90,2011-04-20,2011-04-26,2011-05-05,2011-04-17,2011-04-20,2011-04-29,2011-04-23,2011-04-29,2011-05-08,0.35002,0.36697,0.39684,0.33966,0.4191
uiefswitchgrass,AG,0001,rising,gcc_90,2012-03-23,2012-04-19,2012-05-01,2012-03-20,2012-03-29,2012-04-25,2012-03-26,2012-04-22,2012-05-04,0.34871,0.35934,0.38725,0.33944,0.41577
uiefswitchgrass,AG,0001,rising,gcc_90,2013-05-02,2013-05-08,2013-05-17,2013-04-26,2013-05-02,2013-05-11,2013-05-05,2013-05-11,2013-05-20,0.35044,0.36201,0.38788,0.33867,0.41348
uiefswitchgrass,AG,0001,rising,gcc_90,2014-04-29,2014-05-08,2014-05-17,2014-04-26,2014-05-02,2014-05-11,2014-05-02,2014-05-11,2014-05-20,0.3465,0.36283,0.38688,0.33847,0.41629
uiefswitchgrass,AG,0001,rising,gcc_90,2015-04-26,2015-05-02,2015-05-11,2015-04-23,2015-04-26,2015-05-05,2015-04-29,2015-05-05,2015-05-14,0.35006,0.36551,0.39363,0.34049,0.41541
uiefswitchgrass,AG,0001,rising,gcc_75,2009-04-11,2009-04-20,2009-05-05,2009-04-05,2009-04-17,2009-04-26,2009-04-14,2009-04-23,2009-05-08,0.35193,0.37028,0.40698,0.33957,0.4504
uiefswitchgrass,AG,0001,rising,gcc_75,2010-04-08,2010-04-14,2010-04-23,2010-04-05,2010-04-11,2010-04-14,2010-04-11,2010-04-17,2010-04-26,0.34876,0.36517,0.39729,0.338,0.42031
uiefswitchgrass,AG,0001,rising,gcc_75,2011-04-20,2011-04-26,2011-05-05,2011-04-14,2011-04-20,2011-04-26,2011-04-23,2011-04-29,2011-05-08,0.34876,0.36598,0.39536,0.33766,0.41628
