#
# Transition date estimate for umichbiological2
#
# Site: umichbiological2
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:58
# Spline RMSE gcc_mean: 0.01776
# Spline RMSE gcc_50: 0.01799
# Spline RMSE gcc_75: 0.01939
# Spline RMSE gcc_90: 0.02079
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
umichbiological2,DB,0002,rising,gcc_90,2014-05-20,2014-05-23,2014-05-29,2014-05-17,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-01,0.33995,0.353,0.38265,0.32962,0.40308
umichbiological2,DB,0002,rising,gcc_90,2015-05-08,2015-05-14,2015-05-23,2015-05-05,2015-05-08,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.34041,0.35337,0.37589,0.33105,0.39954
umichbiological2,DB,0002,rising,gcc_75,2014-05-20,2014-05-23,2014-06-01,2014-05-17,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-04,0.33682,0.34919,0.39192,0.32845,0.39921
umichbiological2,DB,0002,rising,gcc_75,2015-05-08,2015-05-14,2015-05-23,2015-05-02,2015-05-08,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.33896,0.35087,0.37278,0.3296,0.39459
umichbiological2,DB,0002,rising,gcc_50,2014-05-20,2014-05-23,2014-06-01,2014-05-17,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-04,0.33378,0.34529,0.38656,0.32672,0.39368
umichbiological2,DB,0002,rising,gcc_50,2015-05-08,2015-05-14,2015-05-23,2015-05-02,2015-05-08,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.33736,0.34814,0.36873,0.32801,0.38846
umichbiological2,DB,0002,rising,gcc_mean,2014-05-20,2014-05-23,2014-05-29,2014-05-17,2014-05-20,2014-05-23,2014-05-23,2014-05-26,2014-06-01,0.33364,0.34521,0.37224,0.32607,0.39009
umichbiological2,DB,0002,rising,gcc_mean,2015-05-08,2015-05-14,2015-05-23,2015-05-02,2015-05-08,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.33602,0.34735,0.36865,0.32734,0.38695
umichbiological2,DB,0002,falling,gcc_90,2015-10-17,2015-10-11,2015-09-29,2015-10-20,2015-10-14,2015-10-08,2015-10-14,2015-10-08,2015-09-26,0.33999,0.35061,0.37418,0.33216,0.39954
umichbiological2,DB,0002,falling,gcc_90,2014-10-14,2014-10-08,2014-09-20,2014-10-17,2014-10-14,2014-09-29,2014-10-11,2014-10-05,2014-09-17,0.3419,0.35267,0.37372,0.33105,0.40158
umichbiological2,DB,0002,falling,gcc_75,2015-10-17,2015-10-11,2015-09-29,2015-10-20,2015-10-14,2015-10-08,2015-10-14,2015-10-08,2015-09-26,0.33823,0.34869,0.37256,0.33085,0.39459
umichbiological2,DB,0002,falling,gcc_75,2014-10-14,2014-10-08,2014-09-20,2014-10-17,2014-10-14,2014-09-29,2014-10-11,2014-10-05,2014-09-17,0.33969,0.35047,0.37101,0.3296,0.39783
umichbiological2,DB,0002,falling,gcc_50,2015-10-17,2015-10-11,2015-10-02,2015-10-20,2015-10-17,2015-10-08,2015-10-14,2015-10-08,2015-09-29,0.33531,0.34603,0.36489,0.32709,0.38846
umichbiological2,DB,0002,falling,gcc_50,2014-10-14,2014-10-08,2014-09-23,2014-10-17,2014-10-14,2014-09-29,2014-10-11,2014-10-05,2014-09-20,0.33722,0.34766,0.36377,0.32801,0.39197
umichbiological2,DB,0002,falling,gcc_mean,2015-10-17,2015-10-11,2015-10-02,2015-10-23,2015-10-17,2015-10-08,2015-10-14,2015-10-08,2015-09-29,0.33514,0.34516,0.36352,0.32653,0.38695
umichbiological2,DB,0002,falling,gcc_mean,2014-10-14,2014-10-11,2014-09-23,2014-10-17,2014-10-14,2014-09-29,2014-10-11,2014-10-08,2014-09-20,0.33709,0.34295,0.36194,0.32734,0.38895
