#
# Transition date estimate for umichbiological
#
# Site: umichbiological
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:58
# Spline RMSE gcc_mean: 0.01401
# Spline RMSE gcc_50: 0.01585
# Spline RMSE gcc_75: 0.01429
# Spline RMSE gcc_90: 0.01471
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
umichbiological,DB,0002,rising,gcc_90,2014-05-23,2014-05-26,2014-06-01,2014-05-20,2014-05-23,2014-05-26,2014-05-26,2014-05-29,2014-06-04,0.33723,0.35313,0.3976,0.3248,0.41193
umichbiological,DB,0002,rising,gcc_90,2015-05-11,2015-05-17,2015-05-26,2015-05-02,2015-05-14,2015-05-20,2015-05-14,2015-05-20,2015-05-29,0.3305,0.34413,0.39054,0.32193,0.40488
umichbiological,DB,0002,rising,gcc_75,2014-05-23,2014-05-26,2014-06-01,2014-05-20,2014-05-23,2014-05-26,2014-05-26,2014-05-29,2014-06-04,0.33412,0.34862,0.3919,0.3232,0.40785
umichbiological,DB,0002,rising,gcc_75,2015-05-11,2015-05-17,2015-05-26,2015-05-02,2015-05-14,2015-05-20,2015-05-14,2015-05-20,2015-05-29,0.3297,0.34237,0.38606,0.32042,0.39996
umichbiological,DB,0002,rising,gcc_50,2014-05-23,2014-05-26,2014-06-01,2014-05-20,2014-05-23,2014-05-26,2014-05-26,2014-05-29,2014-06-04,0.33072,0.34326,0.38378,0.32166,0.40081
umichbiological,DB,0002,rising,gcc_50,2015-05-08,2015-05-20,2015-05-26,2015-04-29,2015-05-14,2015-05-20,2015-05-14,2015-05-23,2015-05-29,0.32709,0.34633,0.37719,0.31852,0.395
umichbiological,DB,0002,rising,gcc_mean,2014-05-23,2014-05-26,2014-06-01,2014-05-20,2014-05-23,2014-05-26,2014-05-26,2014-05-29,2014-06-04,0.33128,0.34412,0.38285,0.32087,0.39814
umichbiological,DB,0002,rising,gcc_mean,2015-05-05,2015-05-17,2015-05-26,2015-04-26,2015-05-14,2015-05-20,2015-05-11,2015-05-20,2015-05-29,0.32574,0.33821,0.37756,0.31781,0.38898
umichbiological,DB,0002,falling,gcc_90,2015-10-20,2015-10-17,2015-10-05,2015-10-23,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-02,0.33626,0.34559,0.37395,0.32361,0.40488
umichbiological,DB,0002,falling,gcc_90,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-14,2014-10-17,2014-10-14,2014-10-05,0.33226,0.34576,0.37692,0.32193,0.41193
umichbiological,DB,0002,falling,gcc_75,2015-10-20,2015-10-17,2015-10-05,2015-10-23,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-02,0.33564,0.34431,0.37075,0.3225,0.39996
umichbiological,DB,0002,falling,gcc_75,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-14,2014-10-17,2014-10-14,2014-10-05,0.33037,0.34318,0.3735,0.32042,0.40785
umichbiological,DB,0002,falling,gcc_50,2015-10-20,2015-10-17,2015-10-05,2015-10-26,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-02,0.3341,0.34224,0.36736,0.32029,0.395
umichbiological,DB,0002,falling,gcc_50,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-14,2014-10-17,2014-10-14,2014-10-05,0.32782,0.3401,0.36905,0.31852,0.40081
umichbiological,DB,0002,falling,gcc_mean,2015-10-20,2015-10-17,2015-10-08,2015-10-26,2015-10-20,2015-10-14,2015-10-17,2015-10-14,2015-10-05,0.33387,0.34213,0.36249,0.31967,0.38898
umichbiological,DB,0002,falling,gcc_mean,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-14,2014-10-17,2014-10-14,2014-10-05,0.32684,0.33852,0.36786,0.31781,0.39814
