#
# Transition date estimate for usgsreston
#
# Site: usgsreston
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2012
# Year max: 2014
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:06:22
# Spline RMSE gcc_mean: 0.03118
# Spline RMSE gcc_50: 0.03527
# Spline RMSE gcc_75: 0.04149
# Spline RMSE gcc_90: 0.04767
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
usgsreston,DB,0001,rising,gcc_90,2013-04-20,2013-04-20,2013-04-26,2013-04-14,2013-04-17,2013-04-17,2013-04-23,2013-04-23,2013-04-29,0.3534,0.3534,0.3657,0.34594,0.36343
usgsreston,DB,0001,rising,gcc_90,2014-04-20,2014-04-26,2014-05-02,2014-04-11,2014-04-20,2014-04-26,2014-04-23,2014-04-29,2014-05-05,0.33374,0.34286,0.35694,0.32907,0.36782
usgsreston,DB,0001,rising,gcc_75,2013-04-17,2013-04-20,2013-04-23,2013-04-14,2013-04-14,2013-04-17,2013-04-20,2013-04-23,2013-04-26,0.34456,0.35181,0.35709,0.34133,0.35715
usgsreston,DB,0001,rising,gcc_75,2014-04-14,2014-04-23,2014-05-02,2014-03-03,2014-04-17,2014-04-23,2014-04-20,2014-04-26,2014-05-05,0.32952,0.33631,0.35176,0.32619,0.35799
usgsreston,DB,0001,rising,gcc_50,2013-04-17,2013-04-17,2013-04-23,2013-04-14,2013-04-14,2013-04-17,2013-04-20,2013-04-20,2013-04-26,0.34069,0.34069,0.35281,0.33735,0.35033
usgsreston,DB,0001,rising,gcc_50,2014-04-08,2014-04-20,2014-04-29,2014-03-03,2014-04-14,2014-04-23,2014-04-17,2014-04-23,2014-05-02,0.32588,0.33035,0.34211,0.32315,0.34945
usgsreston,DB,0001,rising,gcc_mean,2013-04-17,2013-04-20,2013-04-23,2013-04-14,2013-04-14,2013-04-17,2013-04-20,2013-04-23,2013-04-26,0.33984,0.34649,0.35137,0.33796,0.35113
usgsreston,DB,0001,rising,gcc_mean,2014-04-11,2014-04-23,2014-04-29,2014-03-03,2014-04-17,2014-04-23,2014-04-17,2014-04-26,2014-05-02,0.32578,0.33344,0.34204,0.3229,0.3515
usgsreston,DB,0001,falling,gcc_90,2013-11-04,2013-11-01,2013-10-20,2013-11-10,2013-11-04,2013-10-23,2013-11-01,2013-10-29,2013-10-14,0.33502,0.3384,0.34922,0.32961,0.36343
usgsreston,DB,0001,falling,gcc_90,2012-11-06,2012-10-31,2012-10-22,2012-11-12,2012-11-06,2012-10-31,2012-11-03,2012-10-28,2012-10-16,0.33351,0.33875,0.34469,0.32937,0.35673
usgsreston,DB,0001,falling,gcc_75,2013-11-04,2013-11-01,2013-10-20,2013-11-10,2013-11-07,2013-10-29,2013-11-01,2013-10-29,2013-10-17,0.33308,0.33601,0.345,0.32705,0.35715
usgsreston,DB,0001,falling,gcc_75,2012-11-06,2012-11-03,2012-10-22,2012-11-12,2012-11-09,2012-10-31,2012-11-03,2012-10-31,2012-10-19,0.33188,0.3343,0.34242,0.32724,0.3528
usgsreston,DB,0001,falling,gcc_50,2013-11-04,2013-11-01,2013-10-23,2013-11-10,2013-11-07,2013-11-01,2013-11-01,2013-10-29,2013-10-14,0.33054,0.33346,0.33895,0.32435,0.35033
usgsreston,DB,0001,falling,gcc_50,2012-11-06,2012-11-03,2012-10-28,2012-11-12,2012-11-09,2012-11-03,2012-11-03,2012-10-31,2012-10-25,0.32986,0.3328,0.3376,0.32489,0.34537
usgsreston,DB,0001,falling,gcc_mean,2013-11-04,2013-11-01,2013-10-23,2013-11-10,2013-11-07,2013-11-01,2013-11-01,2013-10-29,2013-10-20,0.32949,0.33261,0.33899,0.32421,0.35113
usgsreston,DB,0001,falling,gcc_mean,2012-11-06,2012-11-03,2012-10-25,2012-11-12,2012-11-09,2012-11-03,2012-11-03,2012-10-31,2012-10-22,0.3291,0.33228,0.3385,0.32441,0.34627
