#
# Transition date estimate for usmpj
#
# Site: usmpj
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:59
# Spline RMSE gcc_mean: 0.01827
# Spline RMSE gcc_50: 0.01834
# Spline RMSE gcc_75: 0.01206
# Spline RMSE gcc_90: 0.01267
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
usmpj,EN,0001,rising,gcc_90,2015-03-15,2015-03-24,2015-05-02,2015-03-09,2015-03-18,2015-04-20,2015-03-18,2015-03-27,2015-05-05,0.33719,0.33984,0.34465,0.33544,0.35244
usmpj,EN,0001,rising,gcc_75,2015-03-15,2015-03-24,2015-05-02,2015-03-09,2015-03-18,2015-04-17,2015-03-18,2015-03-27,2015-05-05,0.33664,0.33951,0.34375,0.33481,0.35142
usmpj,EN,0001,rising,gcc_50,2015-03-12,2015-03-21,2015-04-11,2015-02-28,2015-03-15,2015-03-30,2015-03-15,2015-03-24,2015-04-26,0.33439,0.33729,0.34183,0.33197,0.35064
usmpj,EN,0001,rising,gcc_mean,2015-03-06,2015-03-18,2015-04-11,2015-02-25,2015-03-12,2015-03-30,2015-03-12,2015-03-24,2015-04-26,0.33356,0.33625,0.3414,0.33159,0.35007
usmpj,EN,0001,falling,gcc_90,2015-11-22,2015-11-10,2015-10-26,2015-11-28,2015-11-16,2015-11-04,2015-11-19,2015-11-07,2015-10-23,0.33924,0.3421,0.34639,0.33759,0.35278
usmpj,EN,0001,falling,gcc_90,2014-11-25,2014-11-13,2014-10-23,2014-12-01,2014-11-19,2014-11-01,2014-11-19,2014-11-07,2014-10-20,0.33709,0.33955,0.34452,0.33544,0.35178
usmpj,EN,0001,falling,gcc_75,2015-11-22,2015-11-10,2015-10-26,2015-11-28,2015-11-19,2015-11-04,2015-11-19,2015-11-07,2015-10-23,0.33858,0.34143,0.34543,0.33695,0.35171
usmpj,EN,0001,falling,gcc_75,2014-11-25,2014-11-13,2014-10-26,2014-12-04,2014-11-19,2014-11-04,2014-11-19,2014-11-10,2014-10-23,0.33659,0.33914,0.3435,0.33481,0.35054
usmpj,EN,0001,falling,gcc_50,2015-11-25,2015-11-16,2015-10-29,2015-12-01,2015-11-22,2015-11-07,2015-11-19,2015-11-10,2015-10-26,0.33623,0.33864,0.34383,0.33455,0.35064
usmpj,EN,0001,falling,gcc_50,2014-12-04,2014-11-19,2014-10-29,2014-12-13,2014-11-28,2014-11-07,2014-11-25,2014-11-13,2014-10-26,0.33396,0.33679,0.34157,0.33197,0.3495
usmpj,EN,0001,falling,gcc_mean,2015-11-25,2015-11-16,2015-10-29,2015-12-01,2015-11-22,2015-11-07,2015-11-19,2015-11-10,2015-10-26,0.33591,0.33835,0.34313,0.33417,0.35007
usmpj,EN,0001,falling,gcc_mean,2014-12-01,2014-11-19,2014-10-26,2014-12-10,2014-11-28,2014-11-07,2014-11-25,2014-11-13,2014-10-23,0.33365,0.33617,0.34155,0.33159,0.34883
