#
# Transition date estimate for uwmfieldsta
#
# Site: uwmfieldsta
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:59
# Spline RMSE gcc_mean: 0.02109
# Spline RMSE gcc_50: 0.02234
# Spline RMSE gcc_75: 0.0242
# Spline RMSE gcc_90: 0.03038
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uwmfieldsta,DB,0001,rising,gcc_90,2013-05-11,2013-05-14,2013-05-20,2013-05-05,2013-05-11,2013-05-14,2013-05-14,2013-05-17,2013-05-23,0.33426,0.3454,0.37656,0.31953,0.40042
uwmfieldsta,DB,0001,rising,gcc_90,2014-05-17,2014-05-20,2014-05-26,2014-05-11,2014-05-17,2014-05-20,2014-05-20,2014-05-23,2014-05-29,0.33054,0.3456,0.38381,0.31786,0.39966
uwmfieldsta,DB,0001,rising,gcc_90,2015-05-08,2015-05-11,2015-05-20,2015-04-29,2015-05-08,2015-05-14,2015-05-11,2015-05-14,2015-05-23,0.33047,0.33801,0.38045,0.31788,0.39637
uwmfieldsta,DB,0001,rising,gcc_75,2013-05-11,2013-05-14,2013-05-23,2013-05-02,2013-05-11,2013-05-14,2013-05-14,2013-05-17,2013-05-26,0.32967,0.33907,0.38795,0.31767,0.39619
uwmfieldsta,DB,0001,rising,gcc_75,2014-05-17,2014-05-20,2014-05-26,2014-05-02,2014-05-17,2014-05-20,2014-05-20,2014-05-23,2014-05-29,0.32591,0.33953,0.37931,0.31665,0.39521
uwmfieldsta,DB,0001,rising,gcc_75,2015-05-08,2015-05-14,2015-05-20,2015-04-29,2015-05-08,2015-05-14,2015-05-11,2015-05-17,2015-05-23,0.32818,0.3444,0.37646,0.3163,0.39372
uwmfieldsta,DB,0001,rising,gcc_50,2013-05-11,2013-05-14,2013-05-23,2013-04-29,2013-05-11,2013-05-14,2013-05-14,2013-05-17,2013-05-26,0.32751,0.33571,0.38269,0.31592,0.39087
uwmfieldsta,DB,0001,rising,gcc_50,2014-05-17,2014-05-20,2014-05-29,2014-05-02,2014-05-17,2014-05-20,2014-05-20,2014-05-23,2014-06-01,0.32409,0.33532,0.38796,0.31429,0.38825
uwmfieldsta,DB,0001,rising,gcc_50,2015-05-05,2015-05-14,2015-05-20,2015-04-23,2015-05-08,2015-05-14,2015-05-08,2015-05-17,2015-05-23,0.32279,0.34127,0.37027,0.31407,0.38858
uwmfieldsta,DB,0001,rising,gcc_mean,2013-05-11,2013-05-14,2013-05-23,2013-05-02,2013-05-11,2013-05-14,2013-05-14,2013-05-17,2013-05-26,0.32777,0.33611,0.38185,0.31588,0.39045
uwmfieldsta,DB,0001,rising,gcc_mean,2014-05-17,2014-05-20,2014-05-29,2014-05-02,2014-05-17,2014-05-20,2014-05-20,2014-05-23,2014-06-01,0.32409,0.33564,0.3882,0.31426,0.38841
uwmfieldsta,DB,0001,rising,gcc_mean,2015-05-05,2015-05-11,2015-05-20,2015-04-23,2015-05-08,2015-05-14,2015-05-08,2015-05-14,2015-05-23,0.32267,0.33285,0.37053,0.31406,0.3871
uwmfieldsta,DB,0001,falling,gcc_90,2015-10-14,2015-10-11,2015-10-02,2015-10-20,2015-10-14,2015-10-08,2015-10-11,2015-10-08,2015-09-29,0.33723,0.34674,0.36394,0.32271,0.39637
