#
# Transition date estimate for uwmfieldsta
#
# Site: uwmfieldsta
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:59
# Spline RMSE gcc_mean: 0.03495
# Spline RMSE gcc_50: 0.03764
# Spline RMSE gcc_75: 0.03576
# Spline RMSE gcc_90: 0.03559
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uwmfieldsta,GR,0001,rising,gcc_90,2013-04-29,2013-05-05,2013-05-14,2013-04-23,2013-04-29,2013-05-08,2013-05-02,2013-05-08,2013-05-17,0.34866,0.36577,0.39097,0.3349,0.42238
uwmfieldsta,GR,0001,rising,gcc_90,2014-05-05,2014-05-11,2014-05-23,2014-04-29,2014-05-08,2014-05-17,2014-05-08,2014-05-14,2014-05-26,0.34636,0.35839,0.38682,0.3327,0.42156
uwmfieldsta,GR,0001,rising,gcc_90,2015-04-29,2015-05-08,2015-05-23,2015-04-23,2015-05-02,2015-05-14,2015-05-02,2015-05-11,2015-05-26,0.34045,0.35499,0.38543,0.32857,0.41986
uwmfieldsta,GR,0001,rising,gcc_75,2013-04-29,2013-05-05,2013-05-14,2013-04-23,2013-04-29,2013-05-08,2013-05-02,2013-05-08,2013-05-17,0.34603,0.36217,0.38591,0.33393,0.41647
uwmfieldsta,GR,0001,rising,gcc_75,2014-05-05,2014-05-11,2014-05-23,2014-04-29,2014-05-05,2014-05-17,2014-05-08,2014-05-14,2014-05-26,0.34497,0.35621,0.38209,0.33192,0.41486
uwmfieldsta,GR,0001,rising,gcc_75,2015-04-29,2015-05-08,2015-05-23,2015-04-23,2015-05-02,2015-05-14,2015-05-02,2015-05-11,2015-05-26,0.33958,0.35314,0.38169,0.32771,0.41493
uwmfieldsta,GR,0001,rising,gcc_50,2013-04-29,2013-05-05,2013-05-14,2013-04-23,2013-04-29,2013-05-08,2013-05-02,2013-05-08,2013-05-17,0.34329,0.35794,0.3795,0.33249,0.40885
uwmfieldsta,GR,0001,rising,gcc_50,2014-05-05,2014-05-11,2014-05-23,2014-04-29,2014-05-05,2014-05-17,2014-05-08,2014-05-14,2014-05-26,0.34329,0.35341,0.37641,0.33075,0.40793
uwmfieldsta,GR,0001,rising,gcc_50,2015-04-26,2015-05-05,2015-05-23,2015-04-20,2015-05-02,2015-05-14,2015-04-29,2015-05-08,2015-05-26,0.33496,0.34684,0.37719,0.32583,0.40735
uwmfieldsta,GR,0001,rising,gcc_mean,2013-04-29,2013-05-05,2013-05-14,2013-04-23,2013-04-29,2013-05-08,2013-05-02,2013-05-08,2013-05-17,0.34233,0.35784,0.38019,0.33033,0.40981
