#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:14:00
# Spline RMSE gcc_mean: 0.03197
# Spline RMSE gcc_50: 0.03236
# Spline RMSE gcc_75: 0.02121
# Spline RMSE gcc_90: 0.01932
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,0001,rising,gcc_90,2012-04-10,2012-04-28,2012-05-31,2012-04-04,2012-04-16,2012-05-22,2012-04-16,2012-05-13,2012-06-03,0.37235,0.37577,0.38508,0.3697,0.39346
vancouverisland,EN,0001,rising,gcc_90,2013-05-05,2013-05-14,2013-05-26,2013-04-20,2013-05-08,2013-05-17,2013-05-11,2013-05-17,2013-05-29,0.37744,0.38008,0.3858,0.3759,0.39102
vancouverisland,EN,0001,rising,gcc_90,2014-04-08,2014-05-05,2014-05-20,2014-03-27,2014-04-20,2014-05-11,2014-04-20,2014-05-08,2014-05-23,0.37119,0.37432,0.38076,0.36945,0.38645
vancouverisland,EN,0001,rising,gcc_90,2015-04-23,2015-05-05,2015-05-17,2015-04-08,2015-04-29,2015-05-08,2015-05-02,2015-05-08,2015-05-20,0.37234,0.37563,0.3824,0.3705,0.38831
vancouverisland,EN,0001,rising,gcc_75,2012-04-10,2012-04-25,2012-05-28,2012-04-01,2012-04-16,2012-05-22,2012-04-13,2012-05-10,2012-05-31,0.37077,0.3738,0.38178,0.36782,0.39163
vancouverisland,EN,0001,rising,gcc_75,2013-05-08,2013-05-17,2013-05-26,2013-04-23,2013-05-08,2013-05-20,2013-05-11,2013-05-20,2013-05-29,0.37631,0.37936,0.38424,0.37442,0.38979
vancouverisland,EN,0001,rising,gcc_75,2014-04-14,2014-05-08,2014-05-20,2014-03-30,2014-04-29,2014-05-11,2014-04-26,2014-05-11,2014-05-23,0.36958,0.37318,0.37925,0.36756,0.38578
vancouverisland,EN,0001,rising,gcc_75,2015-04-26,2015-05-05,2015-05-17,2015-04-08,2015-04-29,2015-05-11,2015-05-02,2015-05-08,2015-05-20,0.37054,0.3735,0.38071,0.36844,0.38712
vancouverisland,EN,0001,rising,gcc_50,2012-04-07,2012-04-22,2012-05-28,2012-03-29,2012-04-13,2012-05-19,2012-04-13,2012-05-10,2012-05-31,0.3681,0.37162,0.38009,0.36552,0.38926
vancouverisland,EN,0001,rising,gcc_50,2013-05-05,2013-05-14,2013-05-26,2013-04-14,2013-05-08,2013-05-17,2013-05-11,2013-05-17,2013-05-29,0.37334,0.37621,0.3822,0.37157,0.38751
vancouverisland,EN,0001,rising,gcc_50,2014-04-14,2014-05-05,2014-05-20,2014-03-30,2014-04-26,2014-05-11,2014-04-29,2014-05-11,2014-05-23,0.36674,0.36949,0.37661,0.36491,0.38285
vancouverisland,EN,0001,rising,gcc_50,2015-04-26,2015-05-05,2015-05-17,2015-04-14,2015-04-29,2015-05-08,2015-05-02,2015-05-08,2015-05-20,0.36759,0.37108,0.3781,0.36556,0.38388
vancouverisland,EN,0001,rising,gcc_mean,2012-04-07,2012-04-22,2012-05-28,2012-03-26,2012-04-10,2012-05-16,2012-04-13,2012-05-10,2012-05-31,0.36738,0.37071,0.37926,0.36427,0.3883
vancouverisland,EN,0001,rising,gcc_mean,2013-04-26,2013-05-11,2013-05-23,2013-03-30,2013-04-29,2013-05-14,2013-05-08,2013-05-14,2013-05-26,0.3717,0.37453,0.37991,0.36984,0.38628
vancouverisland,EN,0001,rising,gcc_mean,2014-04-02,2014-04-29,2014-05-17,2014-03-21,2014-04-08,2014-05-08,2014-04-17,2014-05-08,2014-05-20,0.3654,0.36788,0.37408,0.36303,0.38177
vancouverisland,EN,0001,rising,gcc_mean,2015-04-23,2015-05-02,2015-05-14,2015-04-05,2015-04-23,2015-05-05,2015-05-02,2015-05-08,2015-05-17,0.36669,0.36925,0.37525,0.36456,0.3822
vancouverisland,EN,0001,falling,gcc_90,2014-11-07,2014-10-29,2014-08-09,2014-11-13,2014-11-07,2014-09-05,2014-11-01,2014-10-20,2014-07-25,0.37295,0.37494,0.37891,0.371,0.38645
vancouverisland,EN,0001,falling,gcc_90,2013-11-22,2013-10-11,2013-09-14,2013-11-28,2013-10-17,2013-09-29,2013-11-16,2013-10-05,2013-09-02,0.3718,0.37503,0.38067,0.36945,0.39102
vancouverisland,EN,0001,falling,gcc_90,2012-11-30,2012-09-04,2012-08-08,2012-12-09,2012-09-19,2012-08-20,2012-11-24,2012-08-29,2012-08-02,0.37774,0.38065,0.38526,0.3759,0.39346
vancouverisland,EN,0001,falling,gcc_75,2014-11-07,2014-10-26,2014-08-21,2014-11-13,2014-11-04,2014-09-08,2014-11-04,2014-09-26,2014-07-31,0.37115,0.37358,0.37761,0.36896,0.38578
vancouverisland,EN,0001,falling,gcc_75,2013-11-19,2013-10-17,2013-09-14,2013-11-25,2013-11-13,2013-09-26,2013-11-16,2013-10-11,2013-09-05,0.37054,0.37335,0.37902,0.36756,0.38979
vancouverisland,EN,0001,falling,gcc_75,2012-11-21,2012-09-10,2012-08-08,2012-12-06,2012-09-22,2012-08-23,2012-09-19,2012-09-01,2012-08-05,0.37631,0.37878,0.38385,0.37442,0.39163
vancouverisland,EN,0001,falling,gcc_50,2014-11-07,2014-10-26,2014-09-02,2014-11-19,2014-11-04,2014-09-23,2014-11-01,2014-10-08,2014-08-21,0.36831,0.37028,0.37492,0.36608,0.38285
vancouverisland,EN,0001,falling,gcc_50,2013-11-19,2013-10-26,2013-09-08,2013-11-28,2013-11-13,2013-09-26,2013-11-13,2013-10-14,2013-09-02,0.36761,0.37056,0.37698,0.36491,0.38751
vancouverisland,EN,0001,falling,gcc_50,2012-10-13,2012-09-13,2012-08-11,2012-12-03,2012-09-25,2012-08-26,2012-09-22,2012-09-01,2012-08-05,0.37341,0.376,0.38116,0.37157,0.38926
vancouverisland,EN,0001,falling,gcc_mean,2014-11-04,2014-10-17,2014-08-30,2014-11-28,2014-11-04,2014-09-23,2014-10-26,2014-09-26,2014-08-06,0.36732,0.36948,0.37402,0.36526,0.38177
vancouverisland,EN,0001,falling,gcc_mean,2013-11-22,2013-11-07,2013-09-14,2013-12-01,2013-11-19,2013-10-02,2013-11-16,2013-10-17,2013-09-05,0.36599,0.36918,0.37537,0.36303,0.38628
vancouverisland,EN,0001,falling,gcc_mean,2012-10-07,2012-09-19,2012-08-17,2012-12-03,2012-10-04,2012-09-04,2012-09-25,2012-09-10,2012-08-08,0.37209,0.37501,0.3798,0.36984,0.3883
