site,lat,lon,veg_type,roi_id_number
acadia,44.3769444444,-68.2608333333,DB,2
acadia,44.3769444444,-68.2608333333,DB,1
aguatibiaeast,33.622,-116.867,XX,1
aguatibianorth,33.60222,-117.34368,XX,1
ahwahnee,37.7467,-119.5816,GR,2
ahwahnee,37.7467,-119.5816,GR,1
alligatorriver,35.7879,-75.9038,DB,1
arbutuslake,43.98207,-74.23322,DB,1
arbutuslake,43.98207,-74.23322,DB,2
arizonagrass,31.5907,-110.5092,XX,1
armoklahoma,36.697,-97.487,AG,1
arsmnswanlake1,45.684508,-95.799703,AG,1
asa,57.16449,14.7825,DB,5
asa,57.16449,14.7825,DB,1
asa,57.16449,14.7825,GR,2
asa,57.16449,14.7825,DB,2
asa,57.16449,14.7825,DB,4
asa,57.16449,14.7825,DB,6
asa,57.16449,14.7825,DB,3
asa,57.16449,14.7825,DB,7
asa,57.16449,14.7825,GR,1
ashbottoms,39.125786,-96.636554,AG,1
ashbottoms,39.125786,-96.636554,DB,1
ashburnham,42.6029,-71.926,DB,2
baldmountain1,36.01833,-118.25028,XX,1
barrocolorado,9.154,-79.848,DB,1
barrocolorado,9.154,-79.848,EB,1
barrocolorado,9.154,-79.848,DB,4
barrocolorado,9.154,-79.848,EB,3
barrocolorado,9.154,-79.848,EB,2
barrocolorado,9.154,-79.848,DB,3
barrocolorado,9.154,-79.848,DB,2
barrocolorado2,9.154,-79.848,XX,1
barrocolorado3,9.154,-79.848,XX,1
barrow,71.28007453,-156.60914915,TN,1
barrow,71.28007453,-156.60914915,TN,2
bartlett,44.0646,-71.2881,DB,3
bartlett,44.0646,-71.2881,XX,4
bartlett,44.0646,-71.2881,DB,1
bartlett,44.0646,-71.2881,DB,2
bartlettir,44.0646,-71.2881,DB,1
bartlettir,44.0646,-71.2881,DB,2
bitterootvalley,46.507,-114.091,XX,1
bitterootvalley,46.507,-114.091,DB,1
bitterootvalley,46.507,-114.091,DB,2
bitterootvalley,46.507,-114.091,DB,3
bostoncommon,42.355912,-71.064145,DB,1
bostonu,42.35041,-71.10438,XX,1
bostonu,42.35041,-71.10438,DB,1
bostonu,42.35041,-71.10438,DB,2
boundarywaters,47.946702,-91.495506,DB,4
boundarywaters,47.946702,-91.495506,DB,3
boundarywaters,47.946702,-91.495506,DB,1
boundarywaters,47.946702,-91.495506,DB,2
boundarywaters,47.946702,-91.495506,DB,6
boundarywatersresized,47.946702,-91.495506,DB,2
boundarywatersresized,47.946702,-91.495506,DB,4
boundarywatersresized,47.946702,-91.495506,DB,3
boundarywatersresized,47.946702,-91.495506,DB,1
bozeman,45.783056,-110.777778,GR,1
breckenridge,35.45083,-118.58278,XX,1
bridger,42.96805,-109.7472,XX,1
bullshoals,36.562833,-93.06663,GR,1
bullshoals,36.562833,-93.06663,DB,1
burdettericea,35.80890278,-90.03270833,AG,1
burdettericec,35.80890278,-90.02837778,AG,1
burnssagebrush,43.4712,-119.6909,SH,1
butte,45.95304,-112.47964,GR,1
canaanvalley,39.0633,-79.4208,GR,1
canadaOA,53.62889,-106.19779,DB,1
canadaOBS,53.98717,-105.11779,MX,1
caryinstitute,41.7839,-73.7341,DB,1
castlesprings,43.734,-71.324,XX,1
castlesprings,43.734,-71.324,EN,1
cedarcreek,45.4019,-93.2042,DB,1
chibougamau,49.6924,-74.342,EN,1
coaloilpoint,34.413695,-119.880226,GR,1
columbiamissouri,38.7441,-92.1997,DB,1
contactcreek,58.2076,-155.9225,TN,1
contactcreek,58.2076,-155.9225,SH,1
coville,58.8025,-155.5629,TN,1
coweeta,35.05959,-83.42798,RF,3
coweeta,35.05959,-83.42798,RF,1
coweeta,35.05959,-83.42798,DB,1
coweeta,35.05959,-83.42798,RF,4
coweeta,35.05959,-83.42798,DB,2
